C	CHEMISTRY; METALLURGY
C01B0013260000	in the presence of a fluidised bed
C01B0013280000	using a plasma or an electric discharge
C01B0013300000	Removal and cooling of the oxide containing suspension
C01B0013320000	by oxidation or hydrolysis of elements or compounds in the liquid or solid state
C01B0013340000	by oxidation or hydrolysis of sprayed or atomised solutions
C01B0013360000	by precipitation reactions in solutions
C01B0015000000	Peroxides; Peroxyhydrates; Peroxyacids or salts thereof; Superoxides; Ozonides
C01B0015010000	Hydrogen peroxide
C01B0015013000	Separation; Purification; Concentration
C01B0015017000	Anhydrous hydrogen peroxide; Anhydrous solutions or gaseous mixtures containing hydrogen peroxide
C01B0015022000	Preparation from organic compounds
C01B0015023000	by the alkyl-anthraquinone process
C01B0015024000	from hydrocarbons
C01B0015026000	from alcohols
C01B0015027000	Preparation from water
C01B0015029000	Preparation from hydrogen and oxygen
C01B0015030000	Preparation from inorganic peroxy-compounds, e.g. from peroxysulfates
C01B0015032000	from metal peroxides
C01B0015037000	Stabilisation by additives
C01B0015040000	Metal peroxides or peroxyhydrates thereof; Superoxides; Ozonides
C01B0015043000	of alkali metals, alkaline earth metals or of magnesium
C01B0015047000	of heavy metals
C01B0015055000	Peroxyhydrates (C01B0015040000 takes precedence); Peroxyacids or salts thereof
C01B0015060000	containing sulfur
C01B0015080000	Peroxysulfates
C01B0015100000	containing carbon
C01B0015120000	containing boron
C01B0015140000	containing silicon
C01B0015160000	containing phosphorus
C01B0017000000	Sulfur; Compounds thereof
C01B0017020000	Preparation of sulfur; Purification
C01B0017027000	Recovery of sulfur from material containing elemental sulfur, e.g. luxmasses; Purification
C01B0017033000	using a liquid extractant
C01B0017040000	from gaseous sulfur compounds including gaseous sulfides
C01B0017050000	by wet processes
C01B0017060000	from non-gaseous sulfides or materials containing such sulfides, e.g. ores
C01B0017100000	Finely-divided sulfur, e.g. sublimed sulfur, flowers of sulfur
C01B0017120000	Insoluble sulfur (mu-sulfur)
C01B0017160000	Hydrogen sulfides
C01B0017180000	Hydrogen polysulfides
C01B0017200000	Methods for preparing sulfides or polysulfides, in general (ammonium sulfides or polysulfides C01C;sulfides or polysulfides of metals, other than alkali metals, magnesium, calcium, strontium, and barium, see the relevant groups of subclasses C01F or C01G, according to the metal)
C01B0017220000	Alkali metal sulfides or polysulfides
C01B0017240000	Preparation by reduction
C01B0017260000	with carbon
C01B0017280000	with reducing gases
C01B0017300000	Preparation from sodium or potassium amalgam with sulfur or sulfides
C01B0017320000	Hydrosulfides of sodium or potassium
C01B0017340000	Polysulfides of sodium or potassium
C01B0017360000	Purification
C01B0017380000	Dehydration
C01B0017400000	Making shaped products, e.g. granules
C01B0017420000	Sulfides or polysulfides of magnesium, calcium, strontium, or barium
C01B0017430000	from oxides or hydroxides with sulfur or hydrogen sulfide
C01B0017440000	by reduction of sulfates
C01B0017450000	Compounds containing sulfur and halogen, with or without oxygen
C01B0017460000	Compounds containing sulfur, halogen, hydrogen, and oxygen
C01B0017480000	Sulfur dioxide; Sulfurous acid
C01B0017500000	Preparation of sulfur dioxide
C01B0017520000	by roasting sulfides (C22B0001000000 takes precedence)
C01B0017540000	by burning elemental sulfur
C01B0017560000	Separation; Purification
C01B0017580000	Recovery of sulfur dioxide from acid tar or the like
C01B0017600000	Isolation of sulfur dioxide from gases
C01B0017620000	Methods of preparing sulfites in general (particular individual sulfites, see the relevant groups of subclasses C01B-C01G, according to the cation)
C01B0017640000	Thiosulfates; Dithionites; Polythionates
C01B0017660000	Dithionites
C01B0017690000	Sulfur trioxide; Sulfuric acid
C01B0017700000	Stabilisation of gamma-form sulfur trioxide
C01B0017740000	Preparation
C01B0017760000	by contact processes
C01B0017765000	Multi-stage SO3-conversion
C01B0017770000	Fluidised-bed processes
C01B0017775000	Liquid phase contacting processes or wet catalysis processes
C01B0017780000	characterised by the catalyst used
C01B0017790000	containing vanadium
C01B0017800000	Apparatus
C01B0017820000	of sulfuric acid using a nitrogen oxide process
C01B0017840000	Chamber process
C01B0017860000	Tower process
C01B0017880000	Concentration of sulfuric acid
C01B0017900000	Separation; Purification
C01B0017920000	Recovery from acid tar or the like
C01B0017940000	Recovery from nitration acids
C01B0017960000	Methods for the preparation of sulfates in general (particular individual sulfates, see the relevant groups of subclasses C01B-C01G, according to the cation)
C01B0017980000	Other compounds containing sulfur and oxygen (persulfuric acids C01B0015060000;persulfates C01B0015080000)
C01B0019000000	Selenium; Tellurium; Compounds thereof
C01B0019020000	Elemental selenium or tellurium
C01B0019040000	Binary compounds
C01B0021000000	Nitrogen; Compounds thereof
C01B0021020000	Preparation of nitrogen (by decomposition of ammonia C01B0003040000)
C01B0021040000	Purification or separation of nitrogen (by liquefying F25J)
C01B0021060000	Binary compounds of nitrogen with metals, with silicon, or with boron
C01B0021064000	with boron
C01B0021068000	with silicon
C01B0021072000	with aluminium
C01B0021076000	with titanium or zirconium
C01B0021080000	Hydrazoic acid; Azides; Halogen azides
C01B0021082000	Compounds containing nitrogen and non-metals (C01B0021060000, C01B0021080000 take precedence)
C01B0021083000	containing one or more halogen atoms
C01B0021084000	containing also one or more oxygen atoms, e.g. nitrosyl halides
C01B0021086000	containing one or more sulfur atoms
C01B0021087000	containing one or more hydrogen atoms
C01B0021088000	containing also one or more halogen atoms
C01B0021090000	Halogeno-amines, e.g. chloramine
C01B0021092000	containing also one or more metal atoms
C01B0021093000	containing also one or more sulfur atoms
C01B0021094000	Nitrosyl containing acids
C01B0021096000	Amidosulfonic acid; Salts thereof
C01B0021097000	containing phosphorus atoms
C01B0021098000	Phosphonitrilic dihalides; Polymers thereof
C01B0021120000	Carbamic acid; Salts thereof
C01B0021140000	Hydroxylamine; Salts thereof
C01B0021160000	Hydrazine; Salts thereof
C01B0021200000	Nitrogen oxides; Oxyacids of nitrogen; Salts thereof
C01B0021220000	Nitrous oxide (N2O)
C01B0021240000	Nitric oxide (NO)
C01B0021260000	Preparation by catalytic oxidation of ammonia
C01B0021280000	Apparatus
C01B0021300000	Preparation by oxidation of nitrogen
C01B0021320000	Apparatus
C01B0021340000	Nitrogen trioxide (N2O3)
C01B0021360000	Nitrogen dioxide (NO2, N2O4) (C01B0021260000, C01B0021300000 take precedence)
C01B0021380000	Nitric acid
C01B0021400000	Preparation by absorption of oxides of nitrogen
C01B0021420000	Preparation from nitrates
C01B0021440000	Concentration
C01B0021460000	Purification; Separation
C01B0021480000	Methods for the preparation of nitrates in general (particular individual nitrates, see the relevant groups of subclasses C01B-C01G, according to the cation)
C01B0021500000	Nitrous acid; Salts thereof
C01B0023000000	Noble gases; Compounds thereof (liquefying F25J)
C01B0025000000	Phosphorus; Compounds thereof (C01B0021000000, C01B0023000000 take precedence;perphosphates C01B0015160000)
C01B0025010000	Treating phosphate ores or other raw phosphate materials to obtain phosphorus or phosphorus compounds
C01B0025020000	Preparation of phosphorus
C01B0025023000	of red phosphorus
C01B0025027000	of yellow phosphorus
C01B0025040000	Purification of phosphorus
C01B0025043000	of red phosphorus
C01B0025047000	of yellow phosphorus
C01B0025060000	Hydrogen phosphides
C01B0025080000	Other phosphides
C01B0025100000	Halides or oxyhalides of phosphorus
C01B0025120000	Oxides of phosphorus
C01B0025140000	Sulfur, selenium, or tellurium compounds of phosphorus
C01B0025160000	Oxyacids of phosphorus; Salts thereof (peroxyacids or salts thereof C01B0015000000)
C01B0025163000	Phosphorous acid; Salts thereof
C01B0025165000	Hypophosphorous acid; Salts thereof
C01B0025168000	Pyrophosphorous acid; Salts thereof
C01B0025180000	Phosphoric acid
C01B0025200000	Preparation from elemental phosphorus or phosphoric anhydride
C01B0025220000	Preparation by reacting phosphate containing material with an acid, e.g. wet process
C01B0025222000	with sulfuric acid, a mixture of acids mainly consisting of sulfuric acid or a mixture of compounds forming it in situ, e.g. a mixture of sulfur dioxide, water and oxygen
C01B0025223000	only one form of calcium sulfate being formed
C01B0025225000	Dihydrate process
C01B0025226000	Hemihydrate process
C01B0025228000	one form of calcium sulfate being formed and then converted to another form
C01B0025229000	Hemihydrate-dihydrate process
C01B0025231000	Dihydrate-hemihydrate process
C01B0025232000	Preparation by reacting phosphate containing material with concentrated sulfuric acid and subsequently lixiviating the obtained mass, e.g. clincker process
C01B0025234000	Purification; Stabilisation; Concentration (purification concomitant with preparation C01B0025220000;preparation involving solvent-solvent extraction C01B0025460000)
C01B0025235000	Clarification; Stabilisation to prevent post-precipitation of dissolved impurities
C01B0025237000	Selective elimination of impurities
C01B0025238000	Cationic impurities
C01B0025240000	Condensed phosphoric acids
C01B0025260000	Phosphates (perphosphates C01B0015160000)
C01B0025280000	Ammonium phosphates
C01B0025300000	Alkali metal phosphates
C01B0025320000	Phosphates of magnesium, calcium, strontium, or barium
C01B0025340000	Magnesium phosphates
C01B0025360000	Aluminium phosphates
C01B0025370000	Phosphates of heavy metals
C01B0025380000	Condensed phosphates
C01B0025390000	of alkali metals
C01B0025400000	Polyphosphates
C01B0025410000	of alkali metals
C01B0025420000	Pyrophosphates
C01B0025440000	Metaphosphates
C01B0025445000	of alkali metals
C01B0025450000	containing plural metal, or metal and ammonium
C01B0025455000	containing halogen
C01B0025460000	Preparation involving solvent-solvent extraction
C01B0032000000	Carbon; Compounds thereof (C01B0021000000, C01B0023000000 take precedence;percarbonates C01B0015100000;carbon black C09C0001480000)
C01B0032050000	Preparation or purification of carbon not covered by groups C01B0032150000, C01B0032200000, C01B0032250000, C01B0032300000
C01B0032100000	Carbon fluorides, e.g. [CF]n or [C2F]n (graphite intercalation thereof C01B0032220000)
C01B0032150000	Nanosized carbon materials
C01B0032152000	Fullerenes
C01B0032154000	Preparation
C01B0032156000	After-treatment
C01B0032158000	Carbon nanotubes
C01B0032159000	single-walled
C01B0032160000	Preparation
C01B0032162000	characterised by catalysts
C01B0032164000	involving continuous processes
C01B0032166000	in liquid phase
C01B0032168000	After-treatment
C01B0032170000	Purification
C01B0032172000	Sorting
C01B0032174000	Derivatisation; Solubilisation; Dispersion in solvents
C01B0032176000	Cutting
C01B0032178000	Opening; Filling
C01B0032180000	Nanoonions; Nanoscrolls; Nanohorns; Nanocones; Nanowalls
C01B0032182000	Graphene
C01B0032184000	Preparation
C01B0032186000	by chemical vapour deposition [CVD]
C01B0032188000	by epitaxial growth
C01B0032190000	by exfoliation
C01B0032192000	starting from graphitic oxides
C01B0032194000	After-treatment
C01B0032196000	Purification
C01B0032198000	Graphene oxide
C01B0032200000	Graphite
C01B0032205000	Preparation
C01B0032210000	After-treatment
C01B0032215000	Purification; Recovery or purification of graphite formed in iron making, e.g. kish graphite
C01B0032220000	Intercalation
C01B0032225000	Expansion; Exfoliation
C01B0032230000	Oxidation
C01B0032250000	Diamond
C01B0032260000	Preparation  (by using ultra-high pressure B01J0003060000;by crystal growth C30B0029040000)
C01B0032280000	After-treatment, e.g. purification, irradiation, separation or recovery
C01B0032300000	Active carbon
C01B0032306000	with molecular sieve properties
C01B0032312000	Preparation
C01B0032318000	characterised by the starting materials
C01B0032324000	from waste materials, e.g. tyres or spent sulfite pulp liquor
C01B0032330000	from distillation residues of coal or petroleum; from petroleum acid sludge
C01B0032336000	characterised by gaseous activating agents
C01B0032342000	characterised by non-gaseous activating agents
C01B0032348000	Metallic compounds
C01B0032354000	After-treatment
C01B0032360000	Reactivation or regeneration
C01B0032366000	by physical processes, e.g. by irradiation, by using electric current passing through carbonaceous feedstock or by using recyclable inert heating bodies
C01B0032372000	Coating; Grafting; Microencapsulation
C01B0032378000	Purification
C01B0032384000	Granulation
C01B0032390000	Apparatus for the preparation thereof
C01B0032400000	Carbon monoxide
C01B0032500000	Carbon dioxide
C01B0032550000	Solidifying
C01B0032600000	Preparation of carbonates or bicarbonates in general (of percarbonates C01B0015100000;of specific carbonates or bicarbonates according to the cation C01B-C01G)
C01B0032700000	Compounds containing carbon and sulfur, e.g. thiophosgene
C01B0032720000	Carbon disulfide
C01B0032750000	Preparation by reacting sulfur or sulfur compounds with hydrocarbons
C01B0032770000	Carbon oxysulfide
C01B0032800000	Phosgene
C01B0032900000	Carbides
C01B0032907000	Oxycarbides; Sulfocarbides; Mixture of carbides
C01B0032914000	Carbides of single elements
C01B0032921000	Titanium carbide
C01B0032928000	Carbides of actinides
C01B0032935000	Carbides of alkali metals, strontium, barium or magnesium
C01B0032942000	Calcium carbide
C01B0032949000	Tungsten or molybdenum carbides
C01B0032956000	Silicon carbide
C01B0032963000	Preparation from compounds containing silicon
C01B0032970000	Preparation from SiO or SiO2
C01B0032977000	Preparation from organic compounds containing silicon
C01B0032984000	Preparation from elemental silicon
C01B0032991000	Boron carbide
C01B0033000000	Silicon; Compounds thereof (C01B0021000000, C01B0023000000 take precedence;persilicates C01B0015140000;carbides C01B0032956000)
C01B0033020000	Silicon (forming single crystals or homogeneous polycrystalline material with defined structure C30B)
C01B0033021000	Preparation (chemical coating from the vapour phase C23C0016000000)
C01B0033023000	by reduction of silica or silica-containing material
C01B0033025000	with carbon or a solid carbonaceous material, i.e. carbo-thermal process
C01B0033027000	by decomposition or reduction of gaseous or vaporised silicon compounds other than silica or silica-containing material
C01B0033029000	by decomposition of monosilane
C01B0033030000	by decomposition of silicon halides or halosilanes or reduction thereof with hydrogen as the only reducing agent
C01B0033031000	by decomposition of silicon tetraiodide
C01B0033033000	by reduction of silicon halides or halosilanes with a metal or a metallic alloy as the only reducing agents
C01B0033035000	by decomposition or reduction of gaseous or vaporised silicon compounds in the presence of heated filaments of silicon, carbon or a refractory metal, e.g. tantalum or tungsten, or in the presence of heated silicon rods on which the formed silicon is deposited, a silicon rod being obtained, e.g. Siemens process
C01B0033037000	Purification (by zone-melting C30B0013000000)
C01B0033039000	by conversion of the silicon into a compound, optional purification of the compound, and reconversion into silicon
C01B0033040000	Hydrides of silicon
C01B0033060000	Metal silicides
C01B0033080000	Compounds containing halogen
C01B0033100000	Compounds containing silicon, fluorine, and other elements
C01B0033107000	Halogenated silanes
C01B0033113000	Silicon oxides; Hydrates thereof
C01B0033120000	Silica; Hydrates thereof, e.g. lepidoic silicic acid
C01B0033140000	Colloidal silica, e.g. dispersions, gels, sols
C01B0033141000	Preparation of hydrosols or aqueous dispersions
C01B0033142000	by acidic treatment of silicates
C01B0033143000	of aqueous solutions of silicates
C01B0033145000	Preparation of hydroorganosols, organosols or dispersions in an organic medium
C01B0033146000	After-treatment of sols (preparation of hydroorganosols, organosols or dispersions in an organic medium from hydrosols C01B0033145000)
C01B0033148000	Concentration; Drying; Dehydration; Stabilisation; Purification
C01B0033149000	Coating
C01B0033151000	by progressively adding a sol to a different sol, i.e. "build up" of particles using a "heel"
C01B0033152000	Preparation of hydrogels
C01B0033154000	by acidic treatment of aqueous silicate solutions
C01B0033155000	Preparation of hydroorganogels or organogels
C01B0033157000	After-treatment of gels
C01B0033158000	Purification; Drying; Dehydrating
C01B0033159000	Coating or hydrophobisation
C01B0033160000	Preparation of silica xerogels
C01B0033180000	Preparation of finely divided silica neither in sol nor in gel form; After-treatment thereof (treatment to enhance the pigmenting or filling properties C09C)
C01B0033187000	by acidic treatment of silicates
C01B0033193000	of aqueous solutions of silicates
C01B0033200000	Silicates (persilicates C01B0015140000)
C01B0033220000	Magnesium silicates
C01B0033240000	Alkaline earth metal silicates
C01B0033260000	Aluminium-containing silicates
C01B0033320000	Alkali metal silicates (C01B0033260000 takes precedence)
C01B0033360000	having base-exchange properties but not having molecular sieve properties
C01B0033380000	Layered base-exchange silicates, e.g. clays, micas or alkali metal silicates of kenyaite or magadiite type
C01B0033400000	Clays
C01B0033420000	Micas
C01B0033440000	Products obtained from layered base-exchange silicates by ion-exchange with organic compounds such as ammonium, phosphonium or sulfonium compounds or by intercalation of organic compounds, e.g. organoclay material
C01B0033460000	Amorphous silicates, e.g. so-called "amorphous zeolites"
C01B0035000000	Boron; Compounds thereof (monoborane, diborane, metal borohydrides or addition complexes thereof C01B0006000000;perborates C01B0015120000;binary compounds with nitrogen C01B0021060000;phosphides C01B0025080000;carbides C01B0032991000)
C01B0035020000	Boron; Borides
C01B0035040000	Metal borides
C01B0035060000	Boron halogen compounds
C01B0035080000	Compounds containing boron and nitrogen, phosphorus, oxygen, sulfur, selenium or tellurium
C01B0035100000	Compounds containing boron and oxygen (C01B0035060000 takes precedence)
C01B0035120000	Borates
C01B0035140000	Compounds containing boron and nitrogen, phosphorus, sulfur, selenium or tellurium
C01B0035160000	Compounds containing direct bonding between two boron atoms, e.g. Cl2B—BCl2
C01B0035180000	Compounds containing three or more boron atoms, e.g. NaB3H8, MgB10Br10 (borazoles C01B0035140000)
C01B0037000000	Compounds characterised primarily by their physical or chemical properties, rather than by their chemical constitution
C01B0037000000	Compounds having molecular sieve properties but not having base-exchange properties
C01B0037020000	Crystalline silica-polymorphs, e.g. silicalites
C01B0037040000	Aluminophosphates (APO compounds)
C01B0037060000	Aluminophosphates containing other elements, e.g. metals, boron
C01B0037080000	Silicoaluminophosphates (SAPO compounds)
C01B0039000000	Compounds having molecular sieve and base-exchange properties, e.g. crystalline zeolites; Their preparation; After-treatment, e.g. ion-exchange or dealumination (treatment to modify the sorption properties, e.g. shaping using a binder, B01J0020100000;treatment to modify the catalytic properties, e.g. combination of treatments to make the zeolites appropriate to their use as a catalyst, B01J0029040000;treatment to improve the ion-exchange properties B01J0039140000)
C01B0039020000	Crystalline aluminosilicate zeolites; Isomorphous compounds thereof; Direct preparation thereof; Preparation thereof starting from a reaction mixture containing a crystalline zeolite of another type, or from preformed reactants: After-treatment thereof
C01B0039040000	using at least one organic template directing agent, e.g. an ionic quaternary ammonium compound or an aminated compound
C01B0039060000	Preparation of isomorphous zeolites characterised by measures to replace the aluminium or silicon atoms in the lattice framework by atoms of other elements
C01B0039080000	the aluminium atoms being wholly replaced
C01B0039100000	the replacing atoms being phosphorus atoms
C01B0039120000	the replacing atoms being boron atoms
C01B0039140000	Type A
C01B0039160000	from aqueous solutions of an alkali metal aluminate and an alkali metal silicate excluding any other source of alumina or silica but seeds
C01B0039180000	from a reaction mixture containing at least one aluminium silicate or aluminosilicate of a clay type, e.g. kaolin or metakaolin or its exotherm modification or allophane
C01B0039200000	Faujasite type, e.g. type X or Y
C01B0039220000	Type X
C01B0039240000	Type Y
C01B0039260000	Mordenite type
C01B0039280000	Phillipsite or harmotome type, e.g. type B
C01B0039300000	Erionite or offretite type, e.g. zeolite T
C01B0039320000	Type L
C01B0039340000	Type ZSM-4 or type Ω
C01B0039360000	Pentasil type, e.g. types ZSM-5, ZSM-8 or ZSM-11
C01B0039380000	Type ZSM-5
C01B0039400000	using at least one organic template directing agent
C01B0039420000	Type ZSM-12
C01B0039440000	Ferrierite type, e.g. types ZSM-21, ZSM-35 or ZSM-38
C01B0039460000	Other types characterised by their X-ray diffraction pattern and their defined composition
C01B0039480000	using at least one organic template directing agent
C01B0039500000	Zeolites wherein inorganic bases or salts occlude channels in the lattice framework, e.g. sodalite, cancrinite, nosean, hauynite
C01B0039520000	Sodalites
C01B0039540000	Phosphates, e.g. APO or SAPO compounds
C01C	AMMONIA; CYANOGEN; COMPOUNDS THEREOF (salts of oxyacids of halogens C01B0011000000;peroxides, salts of peroxyacids C01B0015000000;thiosulfates, dithionites, polythionates C01B0017640000;compounds containing selenium or tellurium C01B0019000000;azides C01B0021080000;metal amides C01B0021092000;nitrites C01B0021500000;phosphides C01B0025080000;salts of oxyacids of phosphorus C01B0025160000;compounds containing silicon C01B0033000000;compounds containing boron C01B0035000000;fermentation or enzyme-using processes for the preparation of elements or inorganic compounds except carbon dioxide C12P0003000000;production of non-metallic elements or inorganic compounds by electrolysis or electrophoresis C25B)
C01C0001000000	Ammonia; Compounds thereof
C01C0001020000	Preparation or separation of ammonia
C01C0001040000	Preparation of ammonia by synthesis (preparation or purification of gas mixtures for ammonia synthesis C01B0003020000)
C01C0001080000	Preparation of ammonia from nitrogenous organic substances
C01C0001100000	Separation of ammonia from ammonia liquors, e.g. gas liquors
C01C0001120000	Separation of ammonia from gases and vapours
C01C0001140000	Saturators
C01C0001160000	Halides of ammonium
C01C0001180000	Nitrates of ammonium
C01C0001200000	Sulfides; Polysulfides
C01C0001220000	Sulfites of ammonium
C01C0001240000	Sulfates of ammonium (C01C0001140000 takes precedence)
C01C0001242000	Preparation from ammonia and sulfuric acid or sulfur trioxide
C01C0001244000	Preparation by double decomposition of ammonium salts with sulfates
C01C0001245000	Preparation from compounds containing nitrogen and sulfur
C01C0001246000	from sulfur-containing ammonium compounds
C01C0001247000	by oxidation with free oxygen
C01C0001248000	Preventing coalescing or controlling form or size of crystals
C01C0001249000	Deacidifying the crystals
C01C0001260000	Carbonates or bicarbonates of ammonium
C01C0001280000	Methods of preparing ammonium salts in general
C01C0003000000	Cyanogen; Compounds thereof
C01C0003020000	Preparation of hydrogen cyanide
C01C0003040000	Separation from gases
C01C0003060000	Stabilisation of hydrogen cyanide
C01C0003080000	Simple or complex cyanides of metals
C01C0003100000	Simple alkali metal cyanides
C01C0003110000	Complex cyanides
C01C0003120000	Simple or complex iron cyanides
C01C0003140000	Cyanic acid; Salts thereof
C01C0003160000	Cyanamide; Salts thereof
C01C0003180000	Calcium cyanamide
C01C0003200000	Thiocyanic acid; Salts thereof
