B	PERFORMING OPERATIONS; TRANSPORTING
B01D0003200000	Bubble caps; Risers for vapour; Discharge pipes for liquid
B01D0003220000	with horizontal sieve plates or grids; Construction of sieve plates or grids
B01D0003240000	with sloping plates or elements mounted stepwise
B01D0003260000	Fractionating columns in which vapour and liquid flow pass each other, or in which the fluid is sprayed into the vapour, or in which a two-phase mixture is passed in one direction
B01D0003280000	Fractionating columns with surface contact and vertical guides, e.g. film action
B01D0003300000	Fractionating columns with movable parts or in which centrifugal movement is caused
B01D0003320000	Other features of fractionating columns
B01D0003340000	with one or more auxiliary substances
B01D0003360000	Azeotropic distillation
B01D0003380000	Steam distillation
B01D0003400000	Extractive distillation
B01D0003420000	Regulation; Control
B01D0005000000	Condensation of vapours; Recovering volatile solvents by condensation (B01D0008000000 takes precedence;condensers F28B)
B01D0007000000	Sublimation (B01D0008000000 takes precedence;freeze-drying F26)
B01D0007020000	Crystallisation directly from the vapour phase (into single crystals C30B0023000000)
B01D0008000000	Cold traps; Cold baffles
B01D0009000000	Crystallisation (crystallisation directly from the vapour phase B01D0007020000;making single crystals C30B)
B01D0009020000	from solutions
B01D0009040000	concentrating solutions by removing frozen solvent therefrom
B01D0011000000	Solvent extraction
B01D0011020000	of solids
B01D0011040000	of solutions which are liquid
B01D0012000000	Displacing liquid, e.g. from wet solids or from dispersions of liquids or from solids in liquids, by means of another liquid
B01D0015000000	Separating processes involving the treatment of liquids with solid sorbents; Apparatus therefor
B01D0015020000	with moving adsorbents
B01D0015040000	with ion-exchange materials as adsorbents (B01D0015360000 takes precedence)
B01D0015080000	Selective adsorption, e.g. chromatography
B01D0015100000	characterised by constructional or operational features
B01D0015120000	relating to the preparation of the feed
B01D0015140000	relating to the introduction of the feed to the apparatus
B01D0015160000	relating to the conditioning of the fluid carrier
B01D0015180000	relating to flow patterns
B01D0015200000	relating to the conditioning of the sorbent material
B01D0015220000	relating to the construction of the column
B01D0015240000	relating to the treatment of the fractions to be distributed
B01D0015260000	characterised by the separation mechanism
B01D0015300000	Partition chromatography
B01D0015320000	Bonded phase chromatography, e.g. with normal bonded phase, reversed phase or hydrophobic interaction
B01D0015340000	Size-selective separation, e.g. size-exclusion chromatography; Gel filtration; Permeation
B01D0015360000	involving ionic interaction, e.g. ion-exchange, ion-pair, ion-suppression or ion-exclusion
B01D0015380000	involving specific interaction not covered by one or more of groups B01D0015300000-B01D0015360000, e.g. affinity, ligand exchange or chiral chromatography
B01D0015400000	using supercritical fluid as mobile phase or eluent
B01D0015420000	characterised by the development mode, e.g. by displacement or by elution
B01D0017000000	Separation of liquids, not provided for elsewhere, e.g. by thermal diffusion
B01D0017020000	Separation of non-miscible liquids
B01D0017022000	by contact with a preferentially wettable solid
B01D0017025000	by gravity, in a settling tank
B01D0017028000	provided with a set of baffles
B01D0017032000	provided with special equipment for removing at least one of the separated liquids
B01D0017035000	by using gas-bubbles or moving solids introduced into the mixture
B01D0017038000	by centrifugal force (centrifuges B04B;cyclones B04C)
B01D0017040000	Breaking emulsions
B01D0017050000	by chemical treatment
B01D0017060000	Separation of liquids from each other by electricity
B01D0017090000	by thermal diffusion
B01D0017120000	Auxiliary equipment particularly adapted for use with liquid-separating apparatus, e.g. control circuits
B01D0019000000	Degasification of liquids
B01D0019020000	Foam dispersion or prevention
B01D0019040000	by addition of chemical substances
B01D0021000000	Separation of suspended solid particles from liquids by sedimentation (differential sedimentation B03D0003000000)
B01D0021010000	using flocculating agents
B01D0021020000	Settling tanks
B01D0021040000	with moving scrapers
B01D0021060000	with rotating scrapers
B01D0021080000	provided with flocculating compartments
B01D0021180000	Construction of the scrapers or the driving mechanisms for settling tanks
B01D0021200000	Driving mechanisms
B01D0021220000	Safety mechanisms
B01D0021240000	Feed or discharge mechanisms for settling tanks
B01D0021260000	Separation of sediment aided by centrifugal force
B01D0021280000	Mechanical auxiliary equipment for acceleration of sedimentation, e.g. by vibrators or the like
B01D0021300000	Control equipment
B01D0021320000	Density control of clear liquid or sediment, e.g. optical control
B01D0021340000	Controlling the feed distribution; Controlling the liquid level
B01D0024000000	Filtration; Filtering material, regeneration thereof
B01D0024000000	Filters comprising loose filtering material, i.e. filtering material without any binder between the individual particles or fibres thereof (B01D0027020000 takes precedence)
B01D0024020000	with the filter bed stationary during the filtration
B01D0024040000	the filtering material being clamped between pervious fixed walls (B01D0024100000, B01D0024200000 take precedence)
B01D0024060000	the pervious walls comprising a series of louvres or slots
B01D0024080000	the filtering material being supported by at least two pervious coaxial walls
B01D0024100000	the filtering material being held in a closed container
B01D0024120000	Downward filtration, the filtering material being supported by pervious surfaces (B01D0024180000 takes precedence)
B01D0024140000	Downward filtration, the container having distribution or collection headers or pervious conduits (B01D0024180000 takes precedence)
B01D0024160000	Upward filtration (B01D0024180000 takes precedence)
B01D0024180000	Combined upward and downward filtration
B01D0024200000	the filtering material being provided in an open container
B01D0024220000	Downward filtration, the filter material being supported by pervious surfaces
B01D0024240000	Downward filtration, the container having distribution or collection headers or pervious conduits
B01D0024260000	Upward filtration
B01D0024280000	with the filter bed moving during the filtration (with the filter bed fluidised B01D0024360000)
B01D0024300000	Translation
B01D0024320000	Rotation
B01D0024340000	with the filtering material and its pervious support moving (tipping buckets, trays or like sections B01D0033327000)
B01D0024360000	with the filter bed fluidised during the filtration (with the filter bed being stationary B01D0024020000)
B01D0024380000	Feed or discharge devices
B01D0024400000	for feeding
B01D0024420000	for discharging filtrate
B01D0024440000	for discharging filter cake, e.g. chutes
B01D0024460000	Regenerating the filtering material in the filter (B01D0024440000 takes precedence)
B01D0024480000	integrally combined with devices for controlling the filtration
B01D0025000000	Filters formed by clamping together several filtering elements or parts of such elements (disc filters B01D0029390000)
B01D0025020000	in which the elements are pre-formed independent filtering units, e.g. modular systems
B01D0025120000	Filter presses, i.e. of the plate or plate and frame type
B01D0025127000	with one or more movable filter bands arranged to be clamped between the press plates or between a plate and a frame during filtration, e.g. zigzag endless filter bands (B01D0025172000, B01D0025176000, B01D0025190000 take precedence)
B01D0025133000	with compression of the filter cake, e.g. by inflatable membranes
B01D0025164000	Chamber-plate presses, i.e. the sides of the filtering elements being clamped between two successive filtering plates (B01D0025127000, B01D0025172000, B01D0025176000, B01D0025190000 take precedence)
B01D0025168000	with compression of the filter cake, e.g. by inflatable membranes
B01D0025172000	Plate spreading means (removal of filter cakes B01D0025320000)
B01D0025176000	attaching the filter element to the filter press plates, e.g. around the central feed hole in the plates
B01D0025190000	Clamping means for closing the filter press, e.g. hydraulic jacks
B01D0025210000	Plate and frame presses (B01D0025172000, B01D0025176000, B01D0025190000 take precedence)
B01D0025220000	Cell-type filters
B01D0025240000	Cell-type roll filters
B01D0025260000	Cell-type stack filters
B01D0025280000	Leaching or washing filter cakes in the filter
B01D0025300000	Feeding devices
B01D0025320000	Removal of filter cakes
B01D0025340000	by moving the filter elements
B01D0025360000	by centrifugal force
B01D0025380000	by moving parts, e.g. scrapers, contacting stationary filter elements
B01D0027000000	Cartridge filters of the throw-away type
B01D0027020000	with cartridges made from a mass of loose material
B01D0027040000	with cartridges made of a piece of unitary material, e.g. filter paper
B01D0027060000	with corrugated, folded or wound material
B01D0027070000	having a coaxial stream through the filtering element
B01D0027080000	Construction of the casing
B01D0027100000	Safety devices, e.g. by-passes
B01D0027140000	having more than one filtering element
B01D0029000000	Filters with filtering elements stationary during filtration, e.g. pressure or suction filters, not covered by groups B01D0024000000-B01D0027000000;   Filtering elements therefor
B01D0029010000	with flat filtering elements (B01D0029390000 takes precedence)
B01D0029030000	self-supporting
B01D0029050000	supported
B01D0029070000	with corrugated, folded or wound filtering sheets
B01D0029075000	located in a closed housing and comprising scrapers or agitators on the cake side of the filtering elements, e.g. Nutsche- or Rosenmund-type filters for performing multiple step operations such as chemical reactions, filtering and cake treatment
B01D0029085000	Funnel filters; Holders therefor
B01D0029090000	with filtering bands, e.g. movable between filtering operations
B01D0029110000	with bag, cage, hose, tube, sleeve or like filtering elements
B01D0029130000	Supported filter elements
B01D0029150000	arranged for inward flow filtration
B01D0029170000	open-ended
B01D0029190000	on solid frames with surface grooves or the like
B01D0029210000	with corrugated, folded or wound sheets
B01D0029230000	arranged for outward flow filtration
B01D0029250000	open-ended
B01D0029270000	Filter bags
B01D0029310000	Self-supporting filtering elements
B01D0029330000	arranged for inward flow filtration
B01D0029350000	arranged for outward flow filtration
B01D0029370000	open-ended
B01D0029390000	with hollow discs side by side on, or around, one or more tubes, e.g. of the leaf type
B01D0029410000	mounted transversely on the tube
B01D0029430000	mounted otherwise than transversely on the tube
B01D0029440000	Edge filtering elements, i.e. using contiguous impervious surfaces
B01D0029460000	of flat, stacked bodies
B01D0029480000	of spirally or helically wound bodies
B01D0029500000	with multiple filtering elements, characterised by their mutual disposition (B01D0029390000 takes precedence)
B01D0029520000	in parallel connection
B01D0029540000	arranged concentrically or coaxially
B01D0029560000	in series connection
B01D0029580000	arranged concentrically or coaxially
B01D0029600000	integrally combined with devices for controlling the filtration
B01D0029620000	Regenerating the filter material in the filter (devices for taking out of action one or more units of multi-unit filters, e.g. for regeneration, B01D0035120000)
B01D0029640000	by scrapers, brushes or the like, acting on the cake side of the filtering element
B01D0029660000	by flushing, e.g. counter-current air-bumps
B01D0029680000	with backwash arms, shoes or nozzles
B01D0029700000	by forces created by movement of the filter element
B01D0029720000	involving vibrations
B01D0029740000	involving centrifugal force
B01D0029760000	Handling the filter cake in the filter for purposes other than for regenerating (B01D0029940000 takes precedence)
B01D0029780000	for washing
B01D0029800000	for drying
B01D0029820000	by compression
B01D0029840000	by gases or by heating
B01D0029860000	Retarding cake deposition on the filter during the filtration period, e.g. using stirrers
B01D0029880000	having feed or discharge devices
B01D0029900000	for feeding
B01D0029920000	for discharging filtrate
B01D0029940000	for discharging the filter cake, e.g. chutes
B01D0029960000	in which the filtering elements are moved between filtering operations; Particular measures for removing or replacing the filtering elements; Transport systems for filters (B01D0029090000, B01D0029700000 take precedence)
B01D0033000000	Filters with filtering elements which move during the filtering operation (filters comprising loose filtering material moving or fluidised during filtration B01D0024280000-B01D0024360000;centrifuges B04B)
B01D0033010000	with translationally moving filtering elements, e.g. pistons (B01D0033040000-B01D0033327000 take precedence)
B01D0033030000	with vibrating filter elements
B01D0033040000	with filtering bands or the like supported on cylinders which are impervious for filtering
B01D0033044000	with filtering bands or the like supported on cylinders which are pervious for filtering
B01D0033048000	with endless filtering bands
B01D0033052000	combined with a compression device (B01D0033640000 takes precedence)
B01D0033056000	Construction of filtering bands or supporting belts, e.g. devices for centering, mounting or sealing the filtering bands or the supporting belts
B01D0033060000	with rotary cylindrical filtering surfaces, e.g. hollow drums (B01D0033044000 takes precedence)
B01D0033067000	Construction of the filtering drums, e.g. mounting or sealing arrangements
B01D0033073000	arranged for inward flow filtration
B01D0033090000	with surface cells independently connected to pressure distributors
B01D0033110000	arranged for outward flow filtration
B01D0033130000	with surface cells independently connected to pressure distributors
B01D0033150000	with rotary plane filtering surfaces
B01D0033170000	with rotary filtering tables (tables divided into separately tiltable buckets, trays or like sections B01D0033327000)
B01D0033190000	the table surface being divided in successively tilted sectors or cells, e.g. for discharging the filter cake
B01D0033210000	with hollow filtering discs transversely mounted on a hollow rotary shaft
B01D0033230000	Construction of discs or component sectors thereof
B01D0033250000	with hollow frames axially mounted on a hollow rotary shaft
B01D0033270000	with rotary filtering surfaces, which are neither cylindrical nor planar, e.g. helical surfaces
B01D0033290000	the movement of the filter elements being a combination of movements (B01D0033190000 takes precedence)
B01D0033310000	Planetary movement
B01D0033327000	Tipping buckets, trays or like sections
B01D0033333000	with individual filtering elements moving along a closed path (tipping buckets, trays or like sections B01D0033327000)
B01D0033350000	with multiple filtering elements characterised by their mutual disposition (B01D0033210000 takes precedence)
B01D0033370000	in parallel connection
B01D0033390000	concentrically or coaxially
B01D0033410000	in series connection
B01D0033420000	concentrically or coaxially
B01D0033440000	Regenerating the filter material in the filter (devices for taking out of action one or more units of multi-unit filters, e.g. for regeneration, B01D0035120000)
B01D0033460000	by scrapers, brushes or the like acting on the cake-side of the filtering element
B01D0033480000	by flushing, e.g. counter-current air-bumps
B01D0033500000	with backwash arms, shoes or nozzles
B01D0033520000	by forces created by movement of the filter element
B01D0033540000	involving vibrations
B01D0033560000	involving centrifugal force
B01D0033580000	Handling the filter cake in the filter for purposes other than for regenerating (B01D0033760000 takes precedence)
B01D0033600000	for washing
B01D0033620000	for drying
B01D0033640000	by compression
B01D0033660000	by gases or by heating
B01D0033680000	Retarding cake deposition on the filter during the filtration period, e.g. using stirrers
B01D0033700000	having feed or discharge devices (B01D0033820000 takes precedence)
B01D0033720000	for feeding
B01D0033740000	for discharging filtrate
B01D0033760000	for discharging the filter cake, e.g. chutes
B01D0033800000	Accessories
B01D0033820000	Means for pressure distribution
B01D0035000000	Filtering devices having features not specifically covered by groups B01D0024000000-B01D0033000000, or for applications not specifically covered by groups B01D0024000000-B01D0033000000; Auxiliary devices for filtration; Filter housing constructions
B01D0035010000	Devices for the removal of gas, e.g. air purge systems
B01D0035020000	Filters adapted for location in special places, e.g. pipe-lines, pumps, stop-cocks (B01D0035050000 takes precedence)
B01D0035027000	rigidly mounted in or on tanks or reservoirs (B01D0035040000 takes precedence)
B01D0035040000	Plug, tap, or cock filters
B01D0035050000	Floating filters
B01D0035060000	Filters making use of electricity or magnetism (ultrafiltration, microfiltration B01D0061140000;electrodialysis, electro-osmosis B01D0061420000; combinations of filters and magnetic separators B03C0001300000)
B01D0035100000	Brush filters
B01D0035120000	Devices for taking out of action one or more units of multi-unit filters, e.g. for regeneration
B01D0035140000	Safety devices specially adapted for filtration; Devices for indicating clogging (incorporated in a throw-away filter B01D0027100000)
B01D0035143000	Filter condition indicators
B01D0035147000	Bypass or safety valves
B01D0035150000	Bidirectional working filters
B01D0035153000	Anti-leakage or anti-return valves
B01D0035157000	Flow control valves; Damping or calibrated passages
B01D0035160000	Cleaning-out devices
B01D0035180000	Heating or cooling the filters
B01D0035200000	Vibrating the filters (regenerating filter material by vibrations in filters with stationary filtering elements B01D0029720000;discharging the filter cake by vibrations in filters with moving filtering elements B01D0033540000, B01D0033760000)
B01D0035220000	Directing the mixture to be filtered on to the filters in a manner to clean the filters
B01D0035240000	Providing loose granular material to scratch the filters clean
B01D0035260000	Filters with built-in pumps
B01D0035280000	Strainers not provided for elsewhere
B01D0035300000	Filter housing constructions
B01D0035310000	including arrangements for environmental protection, e.g. pressure resisting features
B01D0035320000	against radiation
B01D0035340000	open-topped (B01D0035310000 takes precedence)
B01D0036000000	Filter circuits or combinations of filters with other separating devices (devices for the removal of gas, e.g. air purge systems B01D0035010000;magnetic or electrostatic separators combined with filters B03C)
B01D0036020000	Combinations of filters of different kinds (B01D0029500000, B01D0033350000 take precedence)
B01D0036040000	Combinations of filters with settling tanks
B01D0037000000	Processes of filtration (processes specially adapted for filtering gases B01D0046000000)
B01D0037020000	Precoating the filtering elements or material; Addition of filter aids to the liquid being filtered
B01D0037030000	using flocculating agents
B01D0037040000	Controlling the filtration
B01D0039000000	Filtering material for liquid or gaseous fluids
B01D0039020000	Loose filtering material, e.g. loose fibres
B01D0039040000	Organic material, e.g. cellulose, cotton
B01D0039060000	Inorganic material, e.g. asbestos fibres, glass beads or fibres
B01D0039080000	Filter cloth, i.e. woven, knitted or interlaced material (metallic B01D0039100000)
B01D0039100000	Filter screens essentially made of metal
B01D0039120000	of wire gauze; of knitted wire; of expanded metal
B01D0039140000	Other self-supporting filtering material
B01D0039160000	of organic material, e.g. synthetic fibres
B01D0039180000	the material being cellulose or derivatives thereof
B01D0039200000	of inorganic material, e.g. asbestos paper or metallic filtering material of non-woven wires
B01D0041000000	Regeneration of the filtering material or filter elements outside the filter for liquid or gaseous fluids
B01D0041020000	of loose filtering material
B01D0041040000	of rigid self-supporting filtering material
B01D0043000000	Separating particles from liquids, or liquids from solids, otherwise than by sedimentation or filtration (flotation processes B03D0001000000;drying solid materials or objects F26B)
B01D0045000000	Separating dispersed particles from gases or vapours
B01D0045000000	Separating dispersed particles from gases or vapours by gravity, inertia, or centrifugal forces
B01D0045020000	by utilising gravity
B01D0045040000	by utilising inertia (B01D0045120000 takes precedence)
B01D0045060000	by reversal of direction of flow
B01D0045080000	by impingement against baffle separators
B01D0045100000	which are wetted
B01D0045120000	by centrifugal forces (centrifuges B04B;cyclones B04C)
B01D0045140000	generated by rotating vanes, discs, drums or brushes
B01D0045160000	generated by the winding course of the gas stream
B01D0045180000	Cleaning-out devices
B01D0046000000	Filters or filtering processes specially modified for separating dispersed particles from gases or vapours (filtering elements B01D0024000000-B01D0035000000;filtering material B01D0039000000;their regeneration outside the filters B01D0041000000)
B01D0046020000	Particle separators, e.g. dust precipitators, having hollow filters made of flexible material
B01D0046040000	Cleaning filters
B01D0046060000	with means keeping the working surfaces flat
B01D0046080000	the working surfaces forming a star shape
B01D0046100000	Particle separators, e.g. dust precipitators, using filter plates, sheets, or pads having plane surfaces
B01D0046120000	in multiple arrangements
B01D0046140000	arranged in a star shape
B01D0046160000	arranged on non-filtering conveyors
B01D0046180000	Particle separators, e.g. dust precipitators, using filtering belts
B01D0046200000	the belts combined with drums
B01D0046220000	the belts travelling during filtering
B01D0046240000	Particle separators, e.g. dust precipitators, using rigid hollow filter bodies
B01D0046260000	rotatable
B01D0046280000	Particle separators, e.g. dust precipitators, using filter brushes
B01D0046300000	Particle separators, e.g. dust precipitators, using loose filtering material
B01D0046320000	the material moving during filtering
B01D0046340000	not horizontally, e.g. using shoots
B01D0046360000	as a substantially horizontal layer, e.g. on rotary tables, drums or conveyor belts
B01D0046380000	as fluidised bed
B01D0046400000	Particle separators, e.g. dust precipitators, using edge filters, i.e. using contiguous impervious surfaces
B01D0046420000	Auxiliary equipment or operation thereof
B01D0046440000	controlling filtration
B01D0046460000	automatic
B01D0046480000	Removing dust other than cleaning filters
B01D0046500000	Means for discharging electrostatic potential
B01D0046520000	Particle separators, e.g. dust precipitators, using filters embodying folded material
B01D0046540000	Particle separators, e.g. dust precipitators, using ultra-fine filter sheets or diaphragms
B01D0047000000	Separating dispersed particles from gases, air or vapours by liquid as separating agent (B01D0045100000 takes precedence;fractionating columns or parts thereof B01D0003160000)
B01D0047020000	by passing the gas or air or vapour over or through a liquid bath
B01D0047040000	by passing the gas or air or vapour through foam
B01D0047050000	by condensation of the separating agent
B01D0047060000	Spray cleaning
B01D0047080000	with rotary nozzles
B01D0047100000	Venturi scrubbers
B01D0047120000	Washers with plural different washing sections (B01D0047140000 takes precedence)
B01D0047140000	Packed scrubbers
B01D0047160000	Apparatus having rotary means, other than rotatable nozzles, for atomising the cleaning liquid
B01D0047180000	with horizontally-arranged shafts
B01D0049000000	Separating dispersed particles from gases, air or vapours by other methods
B01D0049020000	by thermal repulsion
B01D0050000000	Combinations of devices for separating particles from gases or vapours
B01D0051000000	Auxiliary pretreatment of gases or vapours to be cleaned from dispersed particles
B01D0051020000	Amassing the particles, e.g. by flocculation
B01D0051040000	by seeding, e.g. by adding particles
B01D0051060000	by varying the pressure of the gas or vapour
B01D0051080000	by sound or ultrasonics
B01D0051100000	Conditioning the gas to be cleaned
B01D0053000000	Separation of gases or vapours; Recovering vapours of volatile solvents from gases; Chemical or biological purification of waste gases, e.g. engine exhaust gases, smoke, fumes, flue gases or aerosols (recovery of volatile solvents by condensation B01D0005000000;sublimation B01D0007000000;cold traps, cold baffles B01D0008000000; separation of difficult-to-condense gases or air by liquefaction F25J0003000000)
B01D0053020000	by adsorption, e.g. preparative gas chromatography
B01D0053040000	with stationary adsorbents
B01D0053047000	Pressure swing adsorption
B01D0053053000	with storage or buffer vessel
B01D0053060000	with moving adsorbents
B01D0053080000	according to the "moving bed" method
B01D0053100000	with dispersed adsorbents
B01D0053120000	according to the "fluidised technique"
B01D0053140000	by absorption
B01D0053180000	Absorbing units; Liquid distributors therefor (B01D0003160000, B01D0003260000, B01D0003300000 take precedence)
B01D0053220000	by diffusion
B01D0053240000	by centrifugal force (centrifuges B04B;cyclones B04C)
B01D0053260000	Drying gases or vapours
B01D0053280000	Selection of materials for use as drying agents
B01D0053300000	Controlling by gas-analysis apparatus
B01D0053320000	by electrical effects other than those provided for in group B01D0061000000
B01D0053340000	Chemical or biological purification of waste gases
B01D0053380000	Removing components of undefined structure
B01D0053400000	Acidic components (B01D0053440000 takes precedence)
B01D0053420000	Basic components (B01D0053440000 takes precedence)
B01D0053440000	Organic components
B01D0053460000	Removing components of defined structure
B01D0053480000	Sulfur compounds
B01D0053500000	Sulfur oxides (B01D0053600000 takes precedence)
B01D0053520000	Hydrogen sulfide
B01D0053540000	Nitrogen compounds
B01D0053560000	Nitrogen oxides (B01D0053600000 takes precedence)
B01D0053580000	Ammonia
B01D0053600000	Simultaneously removing sulfur oxides and nitrogen oxides
B01D0053620000	Carbon oxides
B01D0053640000	Heavy metals or compounds thereof, e.g. mercury
B01D0053660000	Ozone
B01D0053680000	Halogens or halogen compounds
B01D0053700000	Organic halogen compounds
B01D0053720000	Organic compounds not provided for in groups B01D0053480000-B01D0053700000, e.g. hydrocarbons
B01D0053730000	After-treatment of removed components
B01D0053740000	General processes for purification of waste gases; Apparatus or devices specially adapted therefor (B01D0053920000 takes precedence)
B01D0053750000	Multi-step processes
B01D0053760000	Gas phase processes, e.g. by using aerosols
B01D0053770000	Liquid phase processes
B01D0053780000	with gas-liquid contact
B01D0053790000	Injecting reactants
B01D0053800000	Semi-solid phase processes, i.e. by using slurries
B01D0053810000	Solid phase processes
B01D0053820000	with stationary reactants
B01D0053830000	with moving reactants
B01D0053840000	Biological processes
B01D0053850000	with gas-solid contact
B01D0053860000	Catalytic processes
B01D0053880000	Handling or mounting catalysts
B01D0053900000	Injecting reactants
B01D0053920000	of engine exhaust gases (exhaust apparatus having means for purifying or otherwise treating exhaust gases F01N0003000000)
B01D0053940000	by catalytic processes
B01D0053960000	Regeneration, reactivation or recycling of reactants
B01D0057000000	Separation, other than separation of solids, not fully covered by a single other group or subclass, e.g. B03C
B01D0057020000	by electrophoresis
B01D0059000000	Separation of different isotopes of the same chemical element
B01D0059020000	Separation by phase transition
B01D0059040000	by distillation
B01D0059060000	by fractional melting; by zone melting
B01D0059080000	by fractional crystallisation, by precipitation, by zone freezing
B01D0059100000	Separation by diffusion
B01D0059120000	by diffusion through barriers
B01D0059140000	Construction of the barrier
B01D0059160000	by thermal diffusion
B01D0059180000	by separation jets
B01D0059200000	Separation by centrifuging
B01D0059220000	Separation by extracting
B01D0059240000	by solvent extraction
B01D0059260000	by sorption, i.e. absorption, adsorption, persorption
B01D0059280000	Separation by chemical exchange
B01D0059300000	by ion exchange
B01D0059320000	by exchange between fluids
B01D0059330000	involving dual temperature exchange
B01D0059340000	Separation by photochemical methods
B01D0059360000	Separation by biological methods
B01D0059380000	Separation by electrochemical methods
B01D0059400000	by electrolysis
B01D0059420000	by electromigration; by electrophoresis
B01D0059440000	Separation by mass spectrography (particle spectrometers or separator tubes H01J0049000000)
B01D0059460000	using only electrostatic fields
B01D0059480000	using electrostatic and magnetic fields
B01D0059500000	Separation involving two or more processes covered by different groups selected from groups B01D0059020000, B01D0059100000, B01D0059200000, B01D0059220000, B01D0059280000, B01D0059340000, B01D0059360000, B01D0059380000, B01D0059440000
B01D0061000000	Processes of separation using semi-permeable membranes, e.g. dialysis, osmosis or ultrafiltration; Apparatus specially adapted therefor; Semi-permeable membranes or their production
B01D0061000000	Processes of separation using semi-permeable membranes, e.g. dialysis, osmosis or ultrafiltration; Apparatus, accessories or auxiliary operations specially adapted therefor (separation of gases or vapours by diffusion B01D0053220000)
B01D0061020000	Reverse osmosis; Hyperfiltration
B01D0061040000	Feed pretreatment
B01D0061060000	Energy recovery
B01D0061080000	Apparatus therefor
B01D0061100000	Accessories; Auxiliary operations
B01D0061120000	Controlling or regulating
B01D0061140000	Ultrafiltration; Microfiltration
B01D0061160000	Feed pretreatment
B01D0061180000	Apparatus therefor
B01D0061200000	Accessories; Auxiliary operations
B01D0061220000	Controlling or regulating
B01D0061240000	Dialysis
B01D0061260000	Dialysate solution flow, e.g. preparation, regeneration
B01D0061280000	Apparatus therefor
B01D0061300000	Accessories; Auxiliary operation
B01D0061320000	Controlling or regulating
B01D0061340000	Measuring ultrafiltrate during dialysis
B01D0061360000	Pervaporation; Membrane distillation; Liquid permeation
B01D0061380000	Liquid-membrane separation
B01D0061400000	using emulsion-type membranes
B01D0061420000	Electrodialysis; Electro-osmosis
B01D0061440000	Ion-selective electrodialysis
B01D0061460000	Apparatus therefor
B01D0061480000	having one or more compartments filled with ion-exchange material
B01D0061500000	Stacks of the plate-and-frame type
B01D0061520000	Accessories; Auxiliary operation
B01D0061540000	Controlling or regulating
B01D0061560000	Electro-osmotic dewatering
B01D0061580000	Multistep processes
B01D0063000000	Apparatus in general for separation processes using semi-permeable membranes
B01D0063020000	Hollow fibre modules
B01D0063040000	comprising multiple hollow fibre assemblies
B01D0063060000	Tubular membrane modules
B01D0063080000	Flat membrane modules
B01D0063100000	Spiral-wound membrane modules
B01D0063120000	comprising multiple spiral-wound assemblies
B01D0063140000	Pleat-type membrane modules
B01D0063160000	Rotary, reciprocated or vibrated modules
B01D0065000000	Accessories or auxiliary operations, in general, for separation processes or apparatus using semi-permeable membranes
B01D0065020000	Membrane cleaning or sterilisation
B01D0065040000	with movable bodies, e.g. foam balls
B01D0065060000	with special washing compositions
B01D0065080000	Prevention of membrane fouling or of concentration polarisation
B01D0065100000	Testing of membranes or membrane apparatus; Detecting or repairing leaks
B01D0067000000	Processes specially adapted for manufacturing semi-permeable membranes for separation processes or apparatus
B01D0069000000	Semi-permeable membranes for separation processes or apparatus characterised by their form, structure or properties; Manufacturing processes specially adapted therefor
B01D0069020000	characterised by their properties
B01D0069040000	Tubular membranes
