,PCA Score,Abstract
10,0.3693117400505077,"This invention relates to a base emulsion for an emulsion explosive, the base emulsion being a re-pumpable water-in-oil emulsion and comprising: a continuous fuel phase, comprising a liquid hydrocarbon fuel; and an aqueous discontinuous oxidiser phase, dispersed in the fuel phase, the oxidiser phase comprising water, ammonium nitrate and sodium perchlorate. This invention also relates to a sodium nitrite-containing sensitizing solution, for sensitizing such a base emulsion, the sensitizing solution comprising sodium perchlorate. This invention extends, further, to a two-component explosive system comprising such a base emulsion and such a sensitizing solution. Finally, the invention extends to a method of loading a borehole with such a base emulsion and such a sensitizing solution to provide a sensitized emulsion explosive loaded in the borehole; and to such explosive."
13,0.3387565342983645,A process for producing an ammonium nitrate fuel oil (ANFO) explosive includes admixing an oil with water to form a fuel comprising an emulsion. The emulsion is admixed with solid particulate ammonium nitrate. The emulsion is absorbed into the ammonium nitrate to form the ANFO explosive.
11,0.3366424752701863,"Disclosed herein is an explosive composition for soft and wet ground. The explosive composition comprises an explosive comprising an oxidiser component in a water in oil emulsion or a water gel, and a bulking agent comprising discrete particles of a combustible substance. The combustible substance is water soluble but, in the explosive composition, migration of the combustible substance from the discrete particles to the oxidiser component is inhibited. Also disclosed is a method for delivering an explosive composition to a borehole, for example a borehole in soft and wet ground."
12,0.28773042730429244,"The process comprises the mixing of a water-based oxidant product having an oxygen proportion higher than 14 % and comprised of an aqueous solution which is saturated with oxidant salts, suspended oxidant particles and thickening agents, with a combustible and a gas in a mixer, to obtain the formation of an intimate mixture of the oxidant product and the fuel and the formation of a suspension or emulsion of gas in the mixture. The density of the final explosive product may vary as a function of the gas flow rate and is controlled before the explosive is introduced into the hole. The plant is comprised of a tank (1) containing the oxidant product, a combustible tank (11), a gas reservoir (10), a mixer (5), a pump (3), a fuel dosing device (12) with a flow rate meter (13) and a gas flow rate regulator (8) and, optionally, a tank (2) containing a stabilizer for the gas bubbles, a dosing pump (4) and a flow meter (7)."
24,0.2718993295229917,"A sensitizing composition to sensitize a base emulsion, for use in an explosive composition, which includes a carrier emulsion, of a liquid non-polar organic fuel, a surfactant and an aqueous solution, and a plurality of microspheres suspended in the carrier emulsion."
22,0.26673790394240626,"A syntactic foam and water-based explosive comprising glass microbubbles formed by heating feed having a size distribution with a span of less than 0.9 that are dispersed in a polymeric matrix or emulsion explosive. A method for making glass microbubbles, syntactic foam and water-based explosives is described."
15,0.2662886115526256,"The technical field of the invention is that of the manufacture of explosive compositions comprising a water-in-oil emulsion containing of a mixture of two phases immiscible in one another, a continuous phase (2) comprising organic combustible components, and a discontinuous phase (1) in a dispersed oxidizing solution. The emulsion is stabilized by the presence of at least one surface-active agent mixed at least in one of said phases, wherein it is soluble, and of a surface-active agent reinforcing additive. According to the invention, the additive selected is insoluble in each of the two phases, and is used to form a third phase (3) in said emulsion, the third phase (3) being situated between the droplets (4) of the discontinuous phase (1). The third phase acts as a barrier between the droplets and increases emulsion stabilization."
17,0.2649189305374743,"The invention provides a free-flowing particulate explosive comprising 20 % to 90 % by mass of a particulate solid oxidiser, and 10 % to 80 % by mass, of a water-resisting emulsion, said emulsion having non-stick coating properties when at least partially coating the particles of said oxidiser thereby rendering said particles free-flowing."
23,0.26136118327958324,"The invention relates to methods for producing explosive compositions formed by ammonium nitrate and fuel, also known as ANFO (Ammonium nitrate/Fuel Oil), and to the explosive compositions formed by bulk emulsion and ANFO, also known as heavy ANFO. The invention especially comprises two types of method for using high-density ammonium nitrate in the production of said explosive compositions."
16,0.2393594269467929,"The present invention relates generally to an explosive composition comprising an aqueous emulsion of: an oxidizer component, a hydrocarbon fuel component containing emulsifier, and a bulking agent being a fuel-type waste material in a solid particulate form substantially lacking rough surfaces and sharp edges. Preferably the composition is of an ammonium nitrate based emulsion and a pelletised bulking agent. It also involves a method of providing an explosive composition to a blast site using a conventional mobile processing unit (MPU), being a truck having separate compartments adapted for holding fuel oil, dry ammonium nitrate prill, and ammonium nitrate based emulsion, where a compartment instead holds particulate waste material. It also concerns a method of blasting soft and wet ground, which comprises injecting into one or more blast holes in the soft and wet ground a sufficient quantity of the composition, and then setting off the composition."
19,0.22262905865439686,"The present invention concerns a facility for the in situ production of an explosive product (10) by mixing (a) an emulsion matrix and a gasification reagent, comprising at least a first reservoir (1-1) containing said matrix, and a second reservoir (1-2) containing said gasification reagent, and a first pipe (61) that is at least partially flexible cooperating with a first pump (2-1) and a first valve (V1), suitable for transferring said matrix separately to a first mixer, preferably a first static mixer (7), and - a second circuit (1b) for transferring said gasification reagent comprising at least a second pipe (62) that is at least partially flexible cooperating with a second pump (2-2) and a second valve (V2), suitable for transferring said gasification reagent separately to said first mixer (7), characterised in that said second pipe (62) is disposed entirely inside the first pipe (6), forming a coaxial pipe assembly (6), said first mixing device being disposed inside the first pipe at the downstream end (61f) of same, said second pipe ending just upstream of said first mixer."
25,0.21785684203095912,"This invention relates to a method for rapid chemical gassing of an emulsion explosive without having toxic nitrogen oxides in the finished emulsion explosive product, when nitrite is used as the gassing component. Urea acts as a gassing accelerator and urea are added in the water lubrication solution or in both the water lubrication solution and in the gassing component. To achieve rapid gassing of an emulsion explosive, the emulsion is prepared at a pH in the range of 0-3, by using an organic acid having at least 3 carbon atoms."
20,0.21558869801502212,"A method of simulating an attack with chemical warfare agents, comprising dispersal of a liquid training substance by means of an explosive charge. As training substance, use is made of an oil-in-water emulsion containing an organic simulant compound for a chemical warfare agent, such as methyl salicylate (MES), as emulsified phase. The emulsion has sufficiently high water content to prevent the explosive charge from setting the training substance on fire in dispersal. The invention also concerns the training substance and a liquid composition intended to be mixed with water for producing the training substance."
35,0.21515611744038332,A composition comprising: (a) 40 to 99 weight percent of a mixture comprising: (1) an inorganic oxidizing salt and (2) a polygalactomannan plus cross-linker; and (b) 1 to 60 percent by weight of an emulsion; the total weight percent of said composition is provided. The composition is particularly useful as an explosive.
18,0.21037967983470462,"Disclosed are a low-carbon environmental emulsion explosive and a preparation device for oxidant salt aqueous solution. The emulsion explosive is prepared by sensitizing an emulsion matrix with a sensitization liquid, and the emulsion matrix is prepared by emulsifying oxidant salt aqueous solution and oil phase, wherein the components of the oxidant salt aqueous solution are ammonium nitrate, thiourea and water, and the oil phase is composed of paraffin oil or engine oil, and emulsifier, and the sensitization liquid consists of sodium nitrite, sodium thiocyanate or sodium bicarbonate, and water. The emulsion explosive in this invention not only economizes packaging materials, and relatively reduces carbon dioxide emissions, but also simplifies the formula, and effectively reduces the toxic gas generation. The quantity of the involved toxic gas emission is around 20L/kg. And the emulsion explosive can be transported freely, and is not affected by charging."
39,0.20926843294413844,"The invention relates to an emulsion explosive, a method for producing the same, and the use thereof as a cladding and compacting explosive. The inventive emulsion explosive contains silicone oil or a mixture of silicone oils."
31,0.2046967503738062,A detonator sensitive explosive emulsion composition includes an oxidizing phase including a supersaturated solution of ammonium nitrate and a fuel phase including sufficient emulsifying agent to permit dispersion of the oxidizing phase in the fuel phase. The detonator sensitive explosive emulsion composition further includes a crystallization temperature depressant consisting essentially of at least one of an amine and an amine nitrate.
27,0.20358753308796984,"The present invention provides a gasser solution for sensitising an emulsion to form a gassed emulsion explosive composition having a discontinuous aqueous phase comprising inorganic oxygen releasing salts, a continuous water immiscible organic phase and an emulsifier, the emulsifier comprising a headgroup having a functional moiety which is vulnerable to attack by a nitroso species and wherein the gasser solution comprises a solution of an inorganic nitrite, an ammonium species and optionally an accelerator."
26,0.18894052281623197,The application relates to a product formed by the reaction of: a) one or more fatty acid esters of alcohols selected from the group consisting of hexitols and their cyclic or bicyclic anhydrides and pentitols and their anhydrides and mixtures thereof; and b) one or more conjoining agents capable of conjoining the fatty acid esters. The conjoining agents may also have two or more reactive functional groups wherein at least one functional group is capable of conjoining with the fatty acid esters and at least one functional group is capable of reacting with a multifoliate initiator. The product may be suitable for using as an emulsifier in a water-in-oil emulsion explosive and other industrial products.
21,0.18234345933952456,"Provided is a ground station for an intrinsic safety-type latex matrix, which relates to the field of latex matrix preparation processes and equipment techniques for mobile ground auxiliary facilities in the civil explosive industry, and comprises a water phase tank (2), an oil phase tank (11), a water phase pump (5), an oil phase pump (9) and a static emulsifier (7), wherein an inlet and outlet of the water phase pump (5) are respectively connected by means of pipelines to an outlet of the water phase tank (2) and a water phase inlet of the static emulsifier (7), and an inlet and outlet of the oil phase pump (9) are respectively connected by means of pipelines to an outlet of the oil phase tank (11) and an oil phase inlet of the static emulsifier (7); and the ground station uses a fully static emulsifier as emulsifying equipment, which is a latex matrix preparation and delivery device without stirring, mechanical shearing and matrix pump delivering of a colloid in the matrix emulsifying process, the static emulsifier is designed by a principle of jet-type vortex flow emulsion, and the prepared latex matrix is directly filled into a colloid tank in an emulsification mixed and charged truck from an outlet of the static emulsifier by means of a flexible pipe, thereby eliminating the possibility of thermal explosion of mechanical frictions, and also reducing the total energy consumption of the entire production line."
37,0.18061748792381138,"A method for gassing an emulsion explosives to sensitise the explosive to detonation and/or for density modification is described. The method comprises reacting a compound having an enol group, or a deprotonated enolate form of the enol group, with a nitrosating agent to generate nitric oxide to gas the explosive. The compound reacted with the nitrosating agent can be a lactone such as ascorbic acid. Dinitrogen trioxide is particularly useful as the nitrosating agent."
52,0.1593545312057124,"The present invention provides a system for the pneumatic extrusion of an emulsion explosive into a borehole. This system comprises a pressurized vessel for holding the emulsion explosive under pressure (2), a pressurized water source (1) (preferably a vessel for holding water under pressure), an outlet from the emulsion vessel (10), a water injector connecting the outlet to a delivery hose (14) and a conduit (such as a hydraulic hose) for providing the pressurized water to the water injector (9)."
41,0.15917418930775518,The invention relates to a process for producing an ammonium nitrate/fuel oil explosive. The process includes forming an emulsion by admixing an oil with water. Ozone is then introduced into the emulsion to obtain an ozonated emulsion. The ozonated emulsion is admixed with solid particulate ammonium nitrate such that the emulsion is absorbed into the ammonium nitrate. An ammonium nitrate/fuel oil explosive is thereby formed.
38,0.15155790546194237,Provided is a two phase emulsion which is useful in preparing explosive compositions. The two phase emulsion is comprised of a blend of two water in oil emulsions. The two phase emulsion is comprised of a continuous oil matrix in which ammonium nitrate micelles and water micelles both exist separately in stable fashion.
32,0.14988864895512632,"An emulsion comprising:(A) a discontinuous phase; (B) a continuous organic phase; and (C) an emulsifying amount of at least one nitrogen and transition metal containing composition derived from hydrocarbon substituted polycarboxylic acids or functional equivalent thereof, selected from the group consisting of (C-1) amide and imide derivatives of transition metal salts, (C-2) transition metal complexes of non-acidic acylated nitrogen compounds, and (C-3) a mixture of acylated nitrogen compounds and transition metal salts. In one particular embodiment, the invention relates to explosive emulsions wherein (A) is a discontinuous oxidizer phase comprising at least one oxygen-supplying component and (B) is a continuous organic phase which comprises at least one carbonaceous fuel. In another embodiment, the discontinuous phase (A) is a discontinuous aqueous phase."
34,0.14976328087648783,"A water-in-oil emulsion explosive characterized by containing an ethylene/vinyl acetate copolymer. It has excellent long-term stability. Even when stored under a load for as long as about one year, the explosive is less apt to suffer a decrease in explosive performance and coagulates only slightly in such a degree that it comes to have weakly coherent partial coagulates which can be easily disaggregated. Even after long-term storage, charging with the explosive can be easily conducted with a charger. Since the explosive has excellent water resistance, it is suitable also for blasting in a water hole.A water−in−oil emulsion explosive characterized by containing an ethylene/vinyl acetate copolymer. It has excellent long−term stability. Even when stored under a load for as long as about one year, the explosive is less apt to suffer a decrease in explosive performance and coagulates only slightly in such a degree that it comes to have weakly coherent partial coagulates which can be easily disaggregated. Even after long−term storage, charging with the explosive can be easily conducted with a charger. Since the explosive has excellent water resistance, it is suitable also for blasting in a water hole."
28,0.14707118772352823,"A method for producing emulsion explosive without a charge pump by means of emulsification and sensitization in a static state. Water phase and oil phase enter a static emulsifier for emulsification, and then a latex matrix is introduced into a static sensitization device. A sensitizing agent enters the static sensitization device through a sensitizing agent inlet, the latex matrix and the sensitizing agent are mixed in the static sensitization device, and the sensitized explosive is directly filled into an explosive injection pipe for encapsulation. The static emulsifier and the static sensitization device are adopted to change conventional one-time mixing into multi-time mixing, so the explosive storage amount is greatly reduced, mechanical stirring, shearing and emulsification are not needed during a production process, a sensitization mode with mechanical mixing and stirring is cancelled, fully static high-temperature sensitization is carried out, and safety of the sensitization process is improved. The charge pump on a conventional production line is cancelled, the sensitized explosive is directly filled into the explosive injection pipe, danger points during the production process are reduced, the on-line explosive storage amount is reduced, and essential safety of explosive making and explosive charging is realized."
33,0.14430821467644628,"An emulsion explosive composition comprising an emulsion explosive and a heave agent. In the context of the present invention, the heave agent is a compound, or mixture of compounds, which is capable of reducing the overall relative effective energy of the emulsion explosive but which, on combustion/detonation, yields gaseous products. Examples of suitable heave agents include inorganic ammonium compounds, organic ammonium compounds, amino acids and non-ammonium containing amides, carbonates and nitrates."
36,0.13840789791148844,"Water in oil emulsion explosive compositions comprises a discontinuous aqueous phase comprising at least one oxygen-supplying component, a continuous organic phase, an emulsifying amount of an emulsifier composition comprising: the reaction product of an amine (C) characterized by the presence within its structure of at least one H-N group and an intermediate formed in the reaction of (A) at least one olefinic compound containing at least one group of formula (I) and (B) at least one carboxylic reactant selected from the group consisting of compounds of the formula (III) R<3>C(O)(R<4>)nC(O)OR<5> wherein each of R<3> and R<5> is independently H or a hydrocarbyl group, R<4> is a divalent hydrocarbylene group, and n is 0 or 1, and reactive sources thereof and optionally, from about 0.5 to about 2 moles, per mole of (B), of (D) at least one aldehyde or ketone; and optionally a sensitizer."
65,0.12396573023720947,"An emulsion explosive composition which comprises a multiplicity of cavities, each cavity comprising at least one open-ended channel."
58,0.12230458392720478,"The invention relates to a biodegradable emulsion explosive, to a method for the production thereof, and to an explosive system containing the biodegradable emulsion explosive."
50,0.11576576401782179,"Disclosed is a multifunctional emulsion base transport vehicle, the vehicle comprising a vehicle body provided with a vehicle chassis (1), wherein the vehicle chassis (1) is provided with an emulsion base bin system and a system for loading explosives; the emulsion base bin system comprises an emulsion base bin (2) and an emulsion base delivering device connected to the emulsion base bin (2); the system for loading explosives comprises a sensitizing solution storage container (7), a washing water storage container (8) and a loading unit; and the loading unit comprises a motive power system, a second base pump (9), a sensitizing solution pump (10), a base filter (11), a water ring injector (12), an explosive delivery hose and a static mixer. The multifunctional emulsion base transport vehicle has the functions of base storage, base transport, base delivery and loading explosives."
51,0.10396369609133538,"The present invention relates to a modular installation (1) for carrying out a method of manufacturing an explosive emulsion precursor, comprising at least 3 containers: - a first container (100) devoted to the preparation of an aqueous phase comprising a first dissolving tank (110), and - at least one second and/or third container (200, 300), comprising a second tank for preparing the oily phase (210) and a third tank for preparing the emulsion (310), and - at least a fourth and/or fifth container (400, 500) comprising means (410) of supplying heat, and means (510) of supplying electrical energy, and - said first, second and/or third containers (100, 200, 300) being juxtaposed at least along part of one of their walls (100a, 300b, 200b), and provided with openings (170, 370a, 275, 375, 270b) in their walls."
30,0.1016690230049958,"Provided is a site vehicle for mixing and loading multiple kinds of explosives with different detonation velocities. The vehicle contains a double-helix conveying system, a plurality of storage bins (5-8) and multiple sets of pipelines. Emulsified bases, porous granular ammonium nitrate and physical density modifier are stored in the main material storage bins, an adjuvant storage bin is provided with a diesel tank (4, 31), a sensitizing solution tank (40) and a washing water tank (11), and the technical effect that multiple kinds of explosives with different detonation velocities are mixed and loaded can be realized by using the different combinations of the different raw materials of the storage bins and various output pipelines and some baffle plates. The vehicle has the advantages of multiple purposes, capability of producing heavy emulsion explosive, density-modifiable heavy emulsion explosive, low density emulsion explosive, ultra-low density emulsion explosive, heavy ammonium nitrate fuel oil explosive, density-modifiable ammonium nitrate fuel oil explosive, porous granular ammonium nitrate fuel oil explosive, density-modifiable porous granular ammonium nitrate fuel oil explosive, and minor-diameter and long-distance conveying emulsion explosive, and applicability to the needs of various blasting operation environments and loading different kinds of explosives in the same blast hole."
44,0.10144776490259544,"This invention provides a hose for conveying an emulsion explosive together with an annular stream of aqueous solution around the emulsion explosive as a lubricant, wherein the hose comprises an internal surface that reduces disruption of the annular stream during conveying of the emulsion explosive. Also provided is a method of producing this type of hose and practical applications of the hose in commercial mining and blasting operations."
57,0.10080512374564599,"A method of producing a thickened emulsion explosive, which method comprises reacting in an emulsion explosive an amine compound and an a,ß-unsaturated carbonyl compound such that thickening of the emulsion explosive occurs."
40,0.09635436287367571,"A process for producing a fluoro(co)polymer by (co)polymerizing a fluoro-olefin which aims at using a substance that can substitute for R-113 or R-114 conventionally used as the solvent, solving the problem of coloration of the formed fluoro(co)polymer caused by the use of the above chlorofluorocarbons, and conducting the reaction safely. The (co)polymerization is conducted in perfluorocyclobutane as the solvent by solution polymerization, suspension polymerization, emulsion polymerization, etc. The addition of perfluorocyclobutane to a self-explosive fluoro-olefin serves to prevent explosion during storage or transportation."
29,0.0902604282910866,"According to this invention there is provided an aqueous oxidizer solution containing a mixture of dissolved oxidizing salts, for use in the preparation of explosives formulations, which a crystallization point as low as below 0°C. The solution has a water content of 25% by mass or less and contains ammonium nitrate and calcium nitrate wherein the ratio of the the molar concentration of ammonium nitrate to calcium nitrate is preferably approximately 1. When the water content of the solution is 24% by mass or less, the solution further contains monomethylammonium nitrate. This solution can be used for manufacturing watergel explosives, or emulsion explosives or ANE's (ammonium nitrate emulsion suspension or gel explosives). It can be easily transported underground in deep level mines through relatively small diameter pipelines, using existing access ways and shafts, to the working places at which point it can then be converted into a watergel or emulsion explosive or an ANE."
45,0.06484416622875933,"A modifier of brisance (i.e. shattering effect) for water-in-oil emulsion explosives, composed of a macromolecular component consisting of a prepolymer or polymer with the construction units-[CH2-C(X)=CH-CH2]-in its macromolecule where X is -H or -CH3, and which is terminated by hydroxi- or isocyanate groups or polyisobutylene groupings. Its use in an emulsion explosive reduces its brisance while preserving its working ability and raising the physical consistency of this explosive."
47,0.05872792501023327,"This invention relates to a blasting cartridge, a method of producing the cartridge and an emulsion explosives composition. A blasting cartridge according to the invention comprises a tubular sleeve of plastics film containing an emulsion explosives composition. The ends of the cartridge are only crimped, but preferably left open. The rheology of the explosive composition is modified so that it is sufficiently viscous to be contained within the sleeve (i.e. it does not exude from the crimped or open ends of the sleeve) during normal packaging and transport so that the ends thereof do not need to be closed by way of clipping or knotting."
55,0.05247914683014898,"The invention provides explosive emulsion compositions which include polymers of conjugated dienes and/or aryl-substituted olefins which have been hydrogenated, functionalized, and optionally modified. The explosive emulsion compositions include a copolymer of two different conjugated dienes. The polymers may be selectively hydrogenated to produce polymers which have highly controlled amounts of unsaturation, permitting highly selective functionalization."
53,0.0505009874856599,"A method for filling a cavity with explosive is disclosed, whereby a granular explosive and a pumpable explosive are mixed in a mixing chamber, directly on a filling opening for the cavity, or in the cavity, to give a heavy ANFO explosive. The invention further relates to a filling device for filling a cavity with explosive, comprising a first supply line (2), for a first supply flow of granular explosive, a second supply line (3), for a second supply flow of emulsion and a connector element (1), for connecting to a filling opening of the cavity or for placing in the cavity, for introduction of the first and second supply streams."
48,0.04985993258872701,"The invention relates to the metal mining industry, in particular to a method for carrying out open cast mining in watered masses. The aim of the invention is to increase the cost-performance ratio of the breaking up by explosives said watered masses, improve rock breaking quality and to reduce the cost of drilling and blasting. The inventive method consists in drilling a well, filling said well with water from a water-bearing stratum, injecting a water-soluble active compound, forming a blasting charge by the pumping thereof under a column of water and in blasting out. The explosive is embodied in the form of an emulsion blasting material."
62,0.047801665883264066,"The invention relates to the mining industry, in particular to a method for carrying out open cast works in watered lands. The aim of said invention is to increase the engineering-and-economical performance of the watered lands shooting. The inventive method consists in drilling wells (1) in land in rows (2), placing in the part of wells (1), which are filled with water (3) received from a water bed, a small stick charge (4), exploding said charge in such a way that a pothole (5) is formed in the area of explosion, introducing emulsion explosive (6) in all drilled wells (1) by pumping said explosive under a water column (3) and in exploding it. The small mass stick charges (4) are arranged in the wells (1) of the first and last rows (2)."
42,0.03815907014824016,"The process for sensitizing in situ aqueous explosives before charging the mine holes comprises the formation of an emulsion or dispersion gas-in-liquid from a low sensitivity or non explosive matrix product which consists of a liquid mixture in solution, emulsion or suspension of oxidant in fuel, and a gas. The density of the final explosive product can be varied as a function of the gas flow rate and can be controlled before introducing it into the hole. The installation comprises a tank (1) with the matrix product, a gas reserve (10), a mixture (5), a pump (3) and a gas flow rate regulating device (8) and optionally a tank (2) with a gas buble stabilizing agent, a dosing pump (4) and a flow meter (7)."
49,0.03171704344627124,"Methods and compositions for providing an emulsified gassing agent for use in sensitizing emulsion explosive compositions. The emulsified gassing agent is preferably a water-in-oil emulsion such that it is easily combinable with water-in-oil explosive emulsion compositions. The emulsified gassing agent and the emulsion explosive can be kept separate until the point in time immediately prior to introduction into the blasting site. The emulsified gassing agent will contain a gassing agent which releases gas when placed in contact with the emulsion explosive composition. One preferred gassing agent is sodium nitrite, but other gassing agents are also usable. The emulsion may also comprise a companion salt such as calcium or sodium nitrate, a vehicle such as No. 2 diesel oil, a surfactant, and a carrier such as water."
70,0.031218691467751136,"An emulsion explosive composition comprising a base emulsion phase which comprises a continuous fuel phase and a discontinuous oxidiser phase, wherein the viscosity of the base emulsion phase is less than 2000 cP (Brookfield viscosity #4 spindle at 50 rpm) at 25 DEG C."
59,0.0035405639844759973,An emulsion explosive composition is described comprising an effective amount of an explosive oxidizer material and an alkyl (meth)acrylate copolymer having a long alkyl group chain. The copolymer is present in a self-emulsifying composition which forms the base of the emulsion explosive composition. The copolymer and self-emulsifying composition are used to stabilise an emulsion explosive composition. A method is also provided for stabilising an emulsion explosive composition. The method comprises adding an alkyl (meth)acrylate copolymer to an emulsion comprising an explosive material.
43,-0.003860999683420463,"The present invention relates to an emulsion composition with a polymerizing and/or crosslinking agent and methods for its use in improving the manufacturing, packaging, transporting, storage placement and blasting characteristics of explosives containing an emulsion. The present invention is directed to controlling the rheology of an emulsion or explosive containing an emulsion by polymerizing and/or crosslinking the continuous phase of the emulsion by employing hydroxy-terminated polybutadiene and polymerizing agents and/or maleic anhydride adducted polybutadiene and crosslinking agents. The present invention provides compositions and methods of polymerizing and crosslinking emulsion compositions which result in an emulsion whose rheology may be controllably selected, without compromising the integrity of the explosive reaction. The composition of the present invention is comprised of a water-in-oil emulsion containing a continuous external carbonaceous fuel phase, the fuel phase being at least partially polymerized and/or crosslinked."
60,-0.016642676777464338,"A method for manufacture and delivery of an emulsion explosive having a discontinuous oxidizer solution phase, a continuous fuel phase, and an emulsifier, the method comprising: (a) providing an emulsion manufacturing system; (b) conveying an oxidizer solution phase to the emulsion manufacturing system at a pre-determined pressure; (c) conveying a fuel phase to the emulsion manufacturing system at a pre not  determined pressure; (d) forming an emulsion from the oxidizer solution and the fuel phases using only a portion of the pre-determined pressures so as to provide a usable residual pressure after the formation of the emulsion; and (e) utilizing the residual pressure to non-mechanically deliver the emulsion to a pre-determined location."
66,-0.02956749151243332,A valve for controlling the pumping of an emulsion in the mixing of a liquid explosive which includes a piston which is controlled during reciprocation by two valve members which are biased by a spring so that it is not possible for both valve members to be displaced from their respective valve seats simultaneously. This results in precisely controlled pumping strokes.
72,-0.038658724635609154,An explosive composition comprises an emulsion explosive composition and a matrix-forming amount of a matrix-forming agent. The matrix-forming agent is added subsequent to the formation of the emulsion explosive composition but prior to the loading of the emulsion explosive composition into a borehole.
54,-0.0612147668360461,"The present invention relates to a method and device for emulsifying emulsion explosive: an oil phase and a part of a water phase having undergone flow splitting enter a first level coarse emulsion mixer; after mixing, the mixture together with a part of the water phase having undergone second level flow splitting enters a second level coarse emulsion mixer; the obtained mixture together with a part of the water phase having undergone third level flow splitting enters a third level coarse emulsion mixer for mixing; forming a coarse emulsion matrix after multiple levels of mixing, and finally completing emulsification after mixing in a multi-level fine emulsion mixer. The method and device mix the water phase with the oil phase several times according to a desired ratio, thus greatly reducing the stored explosive, with no mechanical stirring or shearing, without requiring matrix pumping, with no heat accumulation, and with low pressure, thus enhancing safety."
74,-0.06202912019167872,"A bladder tank system having a pressure tank enclosing a flexible bladder for isolatedly containing an emulsion explosive, wherein the bladder has an inlet/outlet communicating with a first opening in the tank for charging the bladder with the emulsion explosive and for discharging the emulsion explosive from the bladder, and wherein the tank has a pressurant inlet for charging the tank exteriorly of the bladder with a pressurant to collapse the bladder and thereby expel the emulsion explosive therefrom."
