,PCA Score,Pn,Title,Abstract,Date,Applicant,Inventor,IPC
110,0.062414238613562184,WO2010145734A1,"METHOD FOR PRODUCING A LARGE-CALIBRE EXPLOSIVE PROJECTILE, AND AN EXPLOSIVE PROJECTILE PRODUCED USING THIS METHOD","The invention relates to a method for producing a large-calibre explosive projectile (1) having a projectile casing (2) with an ogival front part (2'), which surrounds an internal area (6) filled with a plastic-bonded explosive charge (9) and, at the nose end, has a mouth (5) which can be closed by a nose fuze (4), wherein an elastic liner (8) is arranged between the explosive charge (9) and the inner wall (7) of the projectile casing (2). In order to ensure that both the liner (8) and the explosive charge (9) can be introduced quickly and accurately, in a simple manner, into the projectile casing (2) of the explosive projectile (1), the invention proposes that the projectile casing (2) be produced in two parts, such that, in the direction of the longitudinal axis (11) of the projectile casing (2), a rear-end projectile casing section (20) and a front projectile casing section (21), which contains the mouth (5) and is annular in shape, are the result, wherein the two projectile casing sections (20, 21) can be connected to one another in the area of the ogival front part (2'), preferably via a screw connection (22). The liner (8) is introduced into the rear-end projectile casing section (20) and the explosive charge (9) is introduced into the liner (8), in this case before the two projectile casing sections (20, 21) are connected to one another.",20101223,RHEINMETALL WAFFE MUNITION [DE],DAU OLE [DE],F42B  30/    08            A I;F42B  12/    20            A I;F42B  33/    00            A I;F42B  33/    02            A I
134,0.05971798935698271,WO2004000674A1,SYNTHETIC RESIN BOTTLE,"A synthetic resin bottle having superior sealability between the mouth and the plastic cap. It has a thermally crystallized mouth (2) formed with a male thread (3). It also has a top plate (7), a cylindrical portion (8) having a female thread (9), a side seal (10), a cap liner (11), and a plastic cap (6) to be threadedly fitted on the mouth (2). The mouth (2) has a top plate abutment (15) abutting against the top plate (7) through the cap liner (11), and a side seal abutment (16) abutting against the side seal (10) through the cap liner (11). The side seal abutment (16) has an annular projection (17), the latter having a substantially semicircular cross-sectional contour, connecting to the top plate abutment (15) through a curved surface (18) having the cross-sectional contour, and pressed against the cap liner (11) at its portion extending from the end of the side seal (10) to the top plate (7). The arcuate cross-sectional contour has a radius within a range of 0.4-0.8 mm. The annular projection (17) is formed to project within a range of 0.03-0.2 mm on one side.",20031231,HOKKAI CAN [JP],TOMIZAWA KATSUMASA,B65D   1/    02            A I;B65D  41/    04            A I;B65D  41/    34            A I;B65D  53/    04            A I
125,0.05790119114112212,WO03002427A1,FLASK-SHAPED CIGARETTE CONTAINER AND METHOD OF PACKAGING CIGARETTES,"A flask-shaped package or container for smoking articles, such as cigarettes, having a generally parallelepiped shape with slightly cureved front and back body panels. The container comprises a body and a lid integrally molded with an open bottom having a peripheral should and a base made of a separate plastic/metal foil laminate that is bonded to the shoulder by induction heating an adhesive thereon. The body has an internal front-to-back stiffening rib and an access opening in its top and front panels. After the access opening is closed, the cigarettes are inserted into the open bottom of the container body. A protective paperboard liner that prevents adherence between the adhesive and the cigarettes is inserted into the bottom and the base laminate is bonded to the shoulder to seal the container.",20030109,REYNOLDS TOBACCO CO R [US],FUNDERBURK DOUGLAS AMON [US],B65B  19/    12            A I;A24F  15/    00            A I;A24F  15/    12            A I;B65B  19/    20            A I;B65D  25/    04            A I;B65D  25/    20            A I;B65D  65/    40            A I;B65D  81/    20            A I;B65D  85/    10            A I
96,0.05143345085927402,WO2011086365A2,A MATERIAL AND SHAPED CHARGE,"The present invention relates to a material comprising particles dispersed in a polymer matrix, wherein the particles include at least one metal and are packed in the polymer matrix with a density of at least 0.6 of the density of the at least one metal. The invention further relates to a shaped charge, an element for forming a liner of a shaped charge, and a kit for assembling a shaped charge.",20110721,JET PHYSICS LTD [GB],LUMLEY ANDREW [GB],
83,0.049678357504926204,WO2013033537A2,METHOD OF USING A DEGRADABLE SHAPED CHARGE AND PERFORATING GUN SYSTEM,"A method for perforating a formation interval in a well is disclosed. The method includes disposing a perforation gun comprising a shaped charge in the well proximate the formation interval, wherein the shaped charge comprises a charge case having a charge cavity, a liner disposed within the charge cavity and an explosive disposed within the charge cavity between the liner and the charge case, wherein the charge case and liner are each formed from a selectively corrodible powder compact material. The method also includes detonating the shaped charge to form a perforation tunnel in the formation interval and deposit a liner residue in the perforation tunnel. The method further includes exposing the perforation gun and perforation tunnel to a predetermined wellbore fluid after detonating the shaped charge to remove a liner residue from the perforation tunnel and the charge case from the well.",20130307,BAKER HUGHES INC [US],XU ZHIYUE [US],E21B  43/  1185            A I;E21B  43/   119            A I
127,0.04699771609236524,WO0116552A1,PLASTIC LINER FOR BAYONET PRIMERS,"A flashtube liner (30) for a primer assembly including a head loading assembly (12). A flashtube (14) containing an ignition charge has an open rearward end connected to the head loading assembly (12). A closing plug assembly (20) includes a conically bored open frontward end and an open cylindrical rearward end that may include an optional outer flange between the frontward and rearward ends. The closing plug assembly (20) is attached to the head loading assembly (12) located rearwardly of the flashtube. A flashtube liner (30) has a flange (32) at an open rearward end. The flashtube liner (30) is inserted into the flashtube (14) to line the inner wall of the flashtube. The flashtube liner (30) is held in place by the flashtube (14) impinging the flashtube liner flange (32) between the head loading assembly (12) or the optional flange, and the open rearward end of the flashtube. The flashtube liner (30) is constructed of an extruded plastic material, such as high density polyethylene.",20010308,ALLIANT TECHSYSTEMS INC [US],REIDER JOHN L,F42C  19/    08            A I
181,0.0465412286230783,WO2017119765A1,EASY-TO-SEAL AIR CAP POUCH,"The present device relates to an air cap pouch which can be easily sealed such that the sealing of an opening portion can be easily performed, thereby increasing the efficiency of a sealing operation. The air cap pouch has an opening portion which is formed between the one ends of a front portion and a rear portion, so as to enable the introduction of goods through the opening portion. The air cap pouch comprises a cover portion formed on the outside of one end of the front portion or the rear portion adjacent to the opening portion, wherein one end, which is connected to the opposite side of the opening portion and faces the opposite side of the opening portion, is disconnected from the front portion or the rear portion, and the other ends other than the one end facing the opposite side of the opening portion are connected to the end portion of the adjacent front portion or rear portion.",20170713,CJ CHEILJEDANG CORP [KR],MOON SANG GWON [KR],B65D  81/    03            A I;B65D  33/    16            A I;B65D  33/    24            A I;B65D  85/    30            A I
0,0.043429304741424354,WO2015026155A1,STRUCTURE FOR UNDERWATER BLASTING AND UNDERWATER BLASTING METHOD USING SAME,"The present invention relates to a structure for underwater blasting and an underwater blasting method using the same. The structure for blasting comprises: a pipe-shaped pipe body (10) having the top and bottom thereof open; top and bottom caps (20A and 20B) installed on the open top and bottom, respectively, of the pipe body (10) and sealing the pipe body (10); a charged portion (30) inserted in the inner bottom portion of the pipe body (10) and holding explosives; and a tamping portion (40) filled in the inner top portion of the pipe body (10) and covering the charged portion (30). A plurality of plate springs (S) is installed on the outer circumference of the bottom cap (20B), and a sleeve (12) is installed at the outside of the plate springs (S) to enclose the plate springs (S) and can be removed from the plate springs (S) by means of a wire (13). The present invention according to the configuration as described above uses a structure for blasting and enables explosives to be installed and fixed in bedrock underwater, so that the occurrence of dead pressure is prevented, and underwater blasting work can be reliably and efficiently performed even when typical explosives are used.",20150226,WOO JUSIK [KR],WOO JUSIK [KR],F24D   3/    04            A I;F24D   1/    00            A I
101,0.04305833925108851,WO2010113426A1,BLAST TREATMENT METHOD AND BLAST TREATMENT DEVICE,"Provided is a blast treatment method that enables the safe and easy blast treatment of objects to be treated that are housed in sealed containers. The method involves a shaped charge placement process in which a shaped charge (70) is placed in a location on the outside of a sealed container (40); a placement process for an explosive used in blasting in which an explosive (20) used in blasting that is for blasting an object to be treated (10) is placed in a location on the outside of the sealed container (40); a housing process in which the sealed contained (40) housing the object to be treated (10) is housed within a sealable chamber (90); a dividing process in which the shaped charge (70) is detonated and the sealed container (40) is divided at predetermined division areas (40a, 40b) as a result of said shaped charge (70) detonation, thereby exposing the object to be treated (10); and a blasting process in which the explosive (20) used in blasting is detonated within the sealed chamber (90), thereby blast treating the exposed object to be treated (10) by means of the blast energy of said explosive (20) used in blasting.",20101007,KOBE STEEL LTD [JP],KOIDE KENJI,F42B  33/    06            A I;F42D   5/    04            A I
53,0.039864233885030034,WO2013121990A1,EXPLOSION-PREVENTION VALVE FOR BATTERY PACK,"An explosion-prevention valve (21) comprises a ring-shaped synthetic resin explosion-prevention valve case (22), an O-ring (23) for sealing the gap between the explosion-prevention case (22) and a pack case (10), a ventilation membrane (24) shaped as a round sheet attached to the case (22) so as to close off a central opening (22a) in the explosion-prevention case (22), and a disc-shaped synthetic-resin protector (25) disposed so as to overlap the ventilation membrane (24) on the outer side. The periphery of the protector (25) has notches (61) acting as ventilation holes, allowing a small amount of air to pass through the ventilation membrane (24). When the internal pressure increases rapidly in the event of a battery fault, the protector (25) bends and detaches off upon the disengaging of a lock enabled by a locking protrusion (52); therefore, a large airflow sectional area is instantly secured, and the internal pressure is relieved.",20130822,AUTOMOTIVE ENERGY SUPPLY CORP [JP],AOYAGI TAKESHI [JP],H01M   2/    10            A I;H01M   2/    12            A I
133,0.03977776914168328,WO2005093313A1,THE HIGH GAS-TIGHTEN METALLIC NOZZLE-BOSS FOR THE HIGH PRESSURE COMPOSITE VESSEL,"The present invention relates to a metal nozzle boss provided with a sealing device, which has highly improved tightness and is combined with a plastic liner of a composite vessel used as a high-pressure vessel. The metal nozzle boss uses an elastic seal ring and a tightening piece in the plastic liner, so that the nozzle boss reliably seals the junction of the nozzle boss and the liner and prevents gas leakage from the vessel. The blade part of the nozzle boss has a dovetail-shaped locking groove, with locking ridges formed in the locking groove. Thus, when the plastic liner is produced by injecting molten resin into the locking groove, the plastic liner is securely combined with the metal nozzle boss. The composite vessel having the metal nozzle boss can be used as a fuel tank for natural gas vehicles or a hydrogen tank for fuel cell vehicles.",20051006,KOREA COMPOSITE RES CO LTD [KR],LEE JOONG-HEE [KR],F17C  13/    06            A I
61,0.03744000571431972,WO2015163578A1,EXCREMENT SAMPLER,"The present invention relates to an excrement sampler, and the excrement sample comprises: a sample collection and accommodation part for collecting an excrement sample and simultaneously accommodating the same therein; and a cap part for covering the sample collection and accommodation part, wherein the sample collection and accommodation part comprises: a handle for facilitating coupling and attachment to the cap part; and a sample collection and accommodation body which is a pipe-shaped tube extended from one end of the handle to be protruded and in which the end of the tube is pointedly formed in the shape of a needle and an opening is formed by a partial incision in the lateral direction of the handle from the end of the tube. The excrement sampler, configured as above, allows the easy collection of an excrement sample and the collection of a suitable amount thereof, enables the simultaneous collection of an excrement sample and accommodation of the same therein, increases the convenience of use of both a subject being examined and a person in charge of the examination, and allows more sanitary treatment of an excrement sample.",20151029,KANG SUNG KUK [KR],KANG SUNG KUK [KR],G01N   1/    02            A I;C12M   1/    26            A I
26,0.03717500420487226,WO2015068353A1,"STOPPER FOR SEALED BATTERY, AND SEALED BATTERY","A stopper according to the present invention, the stopper being used in a sealed battery, is provided with: a conductive terminal cap; a conductive explosion-proof valve electrically connected to the terminal cap; a conductive terminal plate having an abutting surface abutting the explosion-proof valve; and an insulating plate interposed between the explosion-proof valve and the terminal plate, wherein the stopper for a sealed battery is characterized in that the inner portion of the abutting surface has a welded portion formed between the explosion-proof valve and the terminal plate, the plan view shape of the welded portion is a shape defining an enclosed region, a C-shape, or a coil shape, a notch surrounding the welded portion is formed in the terminal plate, and the burst pressure of the welded portion is greater than the burst pressure of the notch.",20150514,SANYO ELECTRIC CO [JP],FUKUOKA TAKAHIRO,H01M   2/    34            A I;H01M   2/    04            A I;H01M   2/    12            A I
77,0.036935545872250744,WO2013191821A1,SHAPED CHARGE LINER,A liner for a shaped charge is provided for improved penetration of a target formation. The liner is formed from a combination of high density particulate and low density particulate.,20131227,SCHLUMBERGER CA LTD [CA],YANG WENBO [US],F42B   1/   032            A I;F42B   1/   036            A I;F42B  12/    10            A I
11,0.03651784137334662,WO2017042165A1,EMERGENCY OPENING SYSTEM AND METHOD FOR AN AIRCRAFT EMERGENCY DOOR,"The invention aims to achieve an emergency opening of a vehicle closing element with a minimum of operations and in a minimum of time, without substantially increasing the space requirement or the weight. To do this, a near-instantaneous high-pressure is triggered after pivoting and inserting (30) an explosion source into a lock retaining element (113). In one embodiment, an emergency opening system (100) of an aircraft emergency door (1) comprises a locking member (110) formed from retaining rods (113) coupled to fittings (111; 112) fixed respectively on the door (1) and on a sill (24) of the frame (20), cables (122) coupled to an insertion mechanism (30) for inserting portions of elongate-shaped tubes (32) into notches (15) formed in the retaining rods (113), and a position detector (50) of the explosion source contained in the elongate tube portions (32). The positioning mechanism (30) comprises shackles (31) for pivoting (F1) around a shaft (A1), and the firing element (50) is positioned so as to come into contact with said elongate tube portion (32) after pivoting.",20170316,LATECOERE [FR],VERGNOT PATRICK [FR],B64C   1/    14            A I
64,0.03593623564512743,WO2016046521A1,PERFORATING GUN ASSEMBLY AND METHOD OF USE IN HYDRAULIC FRACTURING APPLICATIONS,"A method and apparatus for perforating a cased or lined wellbore (11) in a hydraulic fracturing operation is described. The apparatus comprises a perforating gun assembly (10) comprising a first gun module (20) on a first longitudinal portion of the assembly and a second gun module (30) on a second longitudinal portion of the assembly. The first gun module comprises at least one large hole shaped charge (24A), and the second gun module comprises at least two deep penetrating shaped charges (34A, 34B) arranged to generate jets oriented substantially along respective axes that converge towards one another. The method comprises locating the perforating gun assembly in a cased or lined wellbore with the first gun module adjacent a casing (18) or liner at a perforation location and detonating the large hole shaped charges of the first gun module to form one or more large holes in the casing or liner. The perforating gun assembly is translated in the wellbore to locate the second gun module adjacent the casing or liner at the perforation location such that the position of the deep penetrating shaped charges corresponds to the position of the one or more large holes; and the deep penetrating shaped charges of the second gun module are detonated to generate jets which pass through the one or more large holes and form at least two deep penetration holes in the formation (100) adjacent the perforation location. The least two deep penetration holes intersect to provide a connected channel in the formation.",20160331,DELPHIAN BALLISTICS LTD [GB],ALLISON SIMON DOUGLAS EARDLY [GB],E21B  23/    01            A I;E21B  23/    00            A I;E21B  23/    04            A I;E21B  23/    06            A I;E21B  43/   117            A I;E21B  43/   119            A I
104,0.035558251357906745,WO2016133018A1,WIRE HARNESS,"This wire harness is provided with a sheathing member 12 which sheathes a group of electric cables 11, wherein the sheathing member 12 is formed from a plastic corrugated board material 20 comprising a pair of liner sheet portions 21 and 22 which face one another in a parallel fashion, separated from one another by a prescribed gap layer 24, and a plurality of rib-shaped connecting portions 23 which join the two liner sheet portions 21 and 22 together integrally and divide the gap layer 24 into a plurality of sections, and wherein the sheathing member 12 comprises a tubular body in which the material 20 is bent into the shape of a polygonal tube, with the connecting portions 23 extending in a circumferential direction. In a zone Z2, comprising a portion, in an axial-direction, of the sheathing member 12, portions of the liner sheet portions 21 and 22 are partially cut into the shape of slits between adjacent connecting portions 23, such that a part of at least one of an outer peripheral surface 12a and an inner peripheral surface 12b has a longitudinal cross-sectional shape in the form of a wave.",20160825,SUMITOMO WIRING SYSTEMS [JP],SUZUKI YOSHIE [JP],H02G   3/    22            A I;B60R  16/    02            A I;H01B   7/    00            A I
117,0.032636163285600435,WO2004067391A2,A PROTECTIVE BAG FOR NECKED BOTTLES,"This invention relates generally to flexible plastic bags and more particularly, to flexible plastic padded bags for bottle protection and prevention of breakage, especially during transportation of whereas involves personal transit of the bottle.",20040812,AGUAYO LUIS GERARDO [US],AGUAYO LUIS GERARDO [US],B65D                       C I;B65D  33/    18            A I;B65D  33/    25            A I;B65D  75/    38            A I;B65D  81/    03            A I
112,0.032365538054019885,WO2007046940A2,AIR FILTER WITH COMPOSITE PLASTIC AND URETHANE END CAP,"An air filter element having an inner metal liner, an outer metal liner, a filter media, an annular end cap, and a composite end cap is provided. The annular end cap is formed over the metal liners such that the metal liners are secured and at least a portion of the filter media is sealed. The composite end cap has an annular plastic insert and a foamed urethane portion. The annular plastic insert is tapered upwardly from an outer insert periphery toward a central aperture. The foamed urethane portion is molded about the annular plastic insert such that the metal liners are secured, at least a portion of the filter media is sealed, and an annular groove is formed on an underside of the composite end cap. The annular groove has a plurality of transverse ribs therein. Urethane flashing occurs proximate the central aperture and/or the outer liner periphery.",20070426,BALDWIN FILTERS INC [US],EHRENBERG BRIAN T [US],B01D  46/    24            A I;F02M  35/   024            A I
119,0.03077236090947034,WO9821106A1,FORM-FIT THROW-AWAY LINER FOR A REUSABLE PAINT BUCKET INCLUDING ROLLER GRATE,"A form-fit, disposable liner (10) for a reusable plastic five gallon paint bucket. The liner is a thin, structurally rigid, single piece plastic liner formed by a suitable plastic molding process. The liner includes a cylindrically shaped side wall (30) and a semi-circularly shaped bottom wall (34) that conform to she side wall and bottom wall of the paint bucket. An integral roller landing (44) extends down from a semi-circular shaped top wall (42) at an angle thereto, into a vertically extending planar side wall (46).",19980522,ERICKSON TOOL DESIGN INC [US],ERICKSON SCOTT W,C08F 251/    00            A I;C09D 151/    08            A I
90,0.030770766943644504,WO2011084222A1,SHAPED CHARGE,"A perforating apparatus that is usable with a well includes a shaped charge. The shaped charge includes a case, an explosive and a liner. The liner is adapted to form a perforation jet to form a perforation tunnel and promote an exothermic reaction inside the tunnel to create a pressure wave to force debris from the tunnel.",20110714,SCHLUMBERGER CA LTD [CA],HUANG HONGFA [US],E21B  43/   117            A I;F42B   1/    02            A I
179,0.030714148385154117,WO2017120136A1,ORTHOPEDIC BONE PLATE SYSTEM,"A bone plate has first and second sides, each with the same structure. The plate includes nodes separated by deformable bridges. Each node defines a screw hole, and wings extending laterally therefrom. The wings taper in thickness between the first and second sides. Screw holes are threaded into the nodes. Each of the first and second sides of the body define longitudinal channels in the nodes. The plate can be shaped to the bone by deformation at the bridges or removal of portions of the plate at bridges. A pair of benders, each with clamp bracket and clamping bolt threadedly coupled within a threaded hole of the bracket, is also provided for shaping the plate.",20170713,OSTEOCERTUS LLC [US],SILVA CESAR [US],A61B  17/    80            A I;A61B  17/    56            A I;A61B  17/    58            A I;A61B  17/    88            A I
47,0.03020175214542505,WO2014079713A1,EXPLOSION-PROOF HOUSING MADE OF THERMOPLASTIC AND WELDED IN A PRESSURE-RESISTANT MANNER,"The invention relates to a pressure-resistant, explosion-resistant housing (10), which is preferably made of plastic, having two housing parts (15, 16), which are connected to each other by means of wide flanges (18, 20). The flanges (18, 20) are joined by friction welding by means of two concentric seams. The flanges (18, 20) partially form a U profile, which is reinforced by means of ribs (21, 22).",20140530,STAHL SCHALTGERÄTE GMBH R [DE],LEISCHNER MANFRED [DE],H02G   3/    08            A I;H02G   3/    14            A N
2,0.030093967252053967,WO0054003A1,SMALL CHARGE BLASTING APPARATUS INCLUDING DEVICE FOR SEALING PRESSURIZED FLUIDS IN HOLES,"A small charge blasting system provides relief volume (6) for a pressurized working fluid in bore (12) of barrel (4) that is inserted into hole (8) in the material to be broken. The working fluid is generated by cartridge (9) located in combustion chamber (3) of gas generator (1) and expands down bore (12) to exit muzzle (5) and pressurise hole bottom (10) to initiate and propagate a fracture. During hole pressurisation, the thin wall of muzzle (5) flexes outwardly and sealing band (7) forms a dynamic seal in hole (8) to impede leakage of the working fluid. Other constructions of barrel (4) are also disclosed and claimed and include an end cap on barrel (4) to inhibit the entry of water and detritus into bore (12), and a stepped downhole end barrel (4) to pressurise both the sidewall and bottom (10) of hole (8).",20000914,ROCKTEK LTD [AU],WATSON JOHN D,E21C  37/    12            A I;E21C  37/    14            A I;F42D   3/    00            A I
