,PCA Score,Pn,Title,Abstract,Date,Applicant,Inventor,IPC
210,0.032571103853079125,WO9702463A2,SHAPED-CHARGE DEVICE,"A shaped-charge device (10, 10') includes a case (12) defining an axisymmetrical forwardly-opening cavity (18) uniformly disposed about a central axis (20); an axisymmetrical, homogeneous-material, liner (14, 56) of variable thickness defining a forwardly-opening cavity (22) having a closed apex (24, 57), with the cavity (22) being uniformly disposed within the case (12) about the central axis (20); and explosive material (16) symmetrically disposed between the case (12) and the liner (14, 56). The liner (14, 56) is so shaped that in response to the explosive material (16) being detonated to thereby explode, the liner (14, 56) is progressively collapsed inward by the exploding material to be formed into a fluid jet (42) of the homogeneous liner material that is forwardly expelled at a varying velocity from the case (12) along the central axis (20), with the forward portion of the jet (42) being squeezed from the apex (24, 57) of the collapsing liner (14, 56). The liner (14, 56) is so shaped that bulges are formed in the jet (42) without causing the jet (42) to deviate from the central axis (20).",19970123,TRACOR AEROSPACE INC [US],BROWN RONALD E,F42B   1/   028            A I
35,0.03046821886144779,WO2016026101A1,TUNING FORK WITH RELAXOR FERROELECTRIC AND COMPOSITE,"A resonant detector for photoacoustic and scanning probe constructed with relaxor ferroelectric material. The resonator element comprising: a tuning fork-shaped element with at least two prongs comprising a material for generating an output signal, such as an electrical charge, when mechanically influenced by pressure waves, and electrodes for registering the generated output signal, characterized in that the material for generating a charge is a relaxor ferroelectric material.",20160225,FENG YUYANG [CN],FENG YUYANG [CN],G10K  11/    02            A I;G01N  21/    00            A I;G01Q  60/    00            A I;H01L  41/    18            A I
20,0.030242996046306876,WO2016119668A1,BIOMASS PRETREATMENT SYSTEM SUITABLE FOR ENTRAINED-FLOW BED GASIFICATION,"Disclosed is a biomass pretreatment system suitable for entrained-flow bed gasification, comprising a coarse crusher, a dryer and a baking reactor, wherein the discharge port of the coarse crusher is connected to the charge port of the dryer, and the discharge port of the dryer is connected to the charge port of the baking reactor; the baking reactor comprises a reactor body, a rotary shaft, a driving component, at least one tower plate, a scraping plate and a baking medium input tube; the input end of the baking medium input tube respectively penetrates through and extends out of the reactor body; a bubbling hole is respectively provided on the disk surface of each tower plate; a tray with a fan-shaped notch is respectively provided between each tower plate and the corresponding baking medium input tube; the size and arranged position of the notch on the tray are matched with those of the notch on the corresponding tower plate; at least one wind cap in communication with the output end of the corresponding baking medium input tube is installed on the tray; and the wind outlet of the wind cap faces towards the corresponding tower plate. The system is suitable for biomass pretreatment.",20160804,WUHAN KAIDI ENG TECH RES INST [CN],YE PUHAI [CN],C10J   3/    46            A I;C10J   3/    72            A I;C10L   9/    08            A I;F26B   9/    06            A I
39,0.02986094173283096,WO2015192810A1,CRYSTAL STRUCTURE COBALT PHTHALOCYANINE (J-COPC) NANOWIRE AND METHOD FOR PREPARATION THEREOF,"Provided is a cobalt phthalocyanine nanowire, having a J-shaped crystal structure and a diameter of less than 150 nm. Also provided is a method for preparing said cobalt phthalocyanine nanowire, comprising the following steps: a) cobalt phthalocyanine is introduced into the heating area of a tube furnace; b) in the presence of a carrier gas, the cobalt phthalocyanine is heated to a maximum of 600°C; c) by means of the carrier gas, the sublimated cobalt phthalocyanine is directed away from the heating area and to the growing area; d) in the growing area, cobalt phthalocyanine nanowire is obtained. The cobalt phthalocyanine nanowire has improved physical and chemical properties, such as spectral absorption capacity and charge carrier mobility, and can be better applied in the fields of dyes, photoconductive materials, liquid crystals, electrochromics, catalytics, and solar batteries.",20151223,UNIV KUNMING [CN],WANG HAI [CN],C07D 487/    22            A I;B82Y  30/    00            A I;B82Y  40/    00            A I;C30B  25/    00            A I;C30B  29/    54            A I;C30B  29/    62            A I
229,0.029660279095711988,WO2017120188A1,SLOTTED ANTI-EXTRUSION RING ASSEMBLY,A sealing element is flanked by wedge-shaped extrusion ring assemblies. The extrusion rings are continuous for 360 degrees and are slotted from the outside dimension and alternatively from the inside dimension to allow the diameter to increase to the surround tubular or open hole. The extrusion rings climb a ramp on an adjacent pedestal ring on the way out to the borehole wall. Depending on the dimension of the gap to be spanned the extrusion ring slides a variable distance up the pedestal ring ramp. An optional anchor ring is initially forced up an opposite ramp of the pedestal ring. If the sealing gap is short the anchor ring can be eliminated. For larger gaps the anchor ring moves out far enough toward the borehole wall to contact the extrusion ring located on an opposing ramp of the pedestal ring so that reaction forces are directed to keep the anchor ring wedged in position for support of the extrusion ring assembly.,20170713,BAKER HUGHES INC [US],DENG GUIJUN [US],E21B  33/    12            A I;E21B  17/    00            A I;E21B  33/   128            A I
36,0.028815140198241503,WO2016013179A1,NON-AQUEOUS ELECTROLYTE SECONDARY BATTERY,"The objective of the present invention is to provide a non-aqueous electrolyte secondary battery in which swelling that accompanies charge-discharge cycles has been suppressed. This non-aqueous electrolyte secondary battery has a flat-shaped electrode body comprising a first electrode plate and a second electrode plate with a separator therebetween, which have been wound. The first electrode plate is disposed more to the inner peripheral side of the electrode body than the second electrode plate. Provided in order from the winding start end of the first electrode plate are a two-side exposed core body portion, and a single-side exposed core body portion where an active substance layer has been formed only on the outer peripheral surface of the core body. A collector tab is connected to the two-side exposed core body portion. Among the corner portions of the innermost peripheral portion of the first electrode plate, at least one is occupied by the single-side exposed portion. In this corner portion, the active substance layer formed on the outer peripheral surface of the single-side exposed portion faces the active substance layer formed on the inner peripheral surface of the second electrode plate with a separator therebetween. A spacer is disposed on the inner peripheral surface of the first electrode plate in this corner portion.",20160128,SANYO ELECTRIC CO [JP],MITANI SHUNSUKE,H01M  10/  0587            A I;H01M   2/    14            A I;H01M   2/    34            A I;H01M   4/    36            A I;H01M   4/    48            A I;H01M   4/   587            A I
132,0.028378488838829614,WO2016133196A1,"FIBER BUNDLE AND FALSE TWISTED YARN, WOVEN KNITTED ITEM, AND CLOTHING CONTAINING SAME","Provided is a hollow polyester multifilament that has a polygonal cross-sectional shape; in which a single fiber has a rectangular to octagonal cross-sectional shape; that has a single hollow section; and in which single fibers having a right-hexagonal cross-sectional shape preferably account for 70 % or greater of the total number of fibers in the lateral cross-section of the multifilament. In addition to the see-through prevention due to refraction of light at the fiber surfaces, the thermal insulation performance is increased because it is possible to load the fibers at the greatest density, the fiber weight is reduced due to having the hollow section, and, in the case in which the hollow section has a circular shape, light is randomly refracted, thus, achieving a greater see-through prevention. Also, when used as a textured yarn in a woven knitted item, weight reduction, excellent thermal insulation, a light blocking effect, and see-through prevention are strongly exhibited.",20160825,MITSUBISHI RAYON TEXTILE CO LTD [JP],IMAKITA JUNYA [JP],D01F   6/    62            A I;D02G   1/    02            A I;D03D  15/    00            A I;D04B   1/    16            A I
95,0.027641263164960836,WO2012173662A1,ADVANCED MUZZLE LOADER AMMUNITION,"A muzzle loaded ammunition round (101) having a bullet (102) and a consumable cartridge case. The cartridge case (104) is hollow and is filled with at least one propellant composition, the cartridge case (104) being constructed from a consumable material, such as foamed celluloid. The bullet (102) is commonly engaged to the propellant composition (107) at least via the cartridge case (104), the propellant composition (107) having a charge weight.",20121220,ALLIANT TECHSYSTEMS INC [US],WORRELL WILLIAM J [US],F42B   5/   188            A I;B29C  51/    08            A I;B29C  51/    10            A I;F42B   5/   192            A I
138,0.027085219684162828,WO2016117127A1,ALKALINE CELL,"The purpose of the present invention is to provide an alkaline cell in which a sufficient amount of an electrolyte is held in the positive-electrode side, and heavy load discharge characteristics are improved, even when a zinc alloy powder containing 25-40 mass% of a fine powder having a granularity of 75 μm or less is used for the negative-electrode material. This alkaline cell (1) is characterized in that a positive-electrode mixture (21) containing manganese dioxide and an electroconductive material is packed into a positive-electrode can (11) having a bottomed cylindrical shape, a negative-electrode mixture (23) containing a zinc powder is packed on the inner-peripheral side of a separator (22) provided on the inner-peripheral side of the positive-electrode mixture (21), the negative-electrode mixture (23) contains 25-40 mass% of zinc particles having a granularity of 75 μm or less, the positive-electrode mixture (21) comprises a plurality of hollow cylindrical pellets (21a, 21b, 21c) coaxially stacked in the positive-electrode can (11), the total s of the respective lengths of gaps (51, 52) between each of the pellets is 1-14% of the total d of the respective lengths of the pellets, and a sufficient amount of an electrolyte is held in the gaps (51, 52) between the positive-electrode-side pellets.",20160728,FDK ENERGY CO LTD [JP],ENDO TAKAHIRO [JP],H01M   6/    08            A I;H01M   4/    06            A I
86,0.025132523512893978,WO2013088090A1,"MUNITION, CHARGE FOR SUCH A MUNITION, AND METHOD OF MANUFACTURING SUCH A MUNITION","The invention relates to a charge for a munition (10), comprising an explosive charge (40), an inert charge (50) and at least one pyrotechnique transmission unit (60) designed to transmit a remote-initiated detonation to said explosive charge (40). The invention also relates to a munition incorporating such a charge, said munition (10) comprising an elongate hollow body (12) able to house the explosive charge (40) and the inert charge (50), and a firing device (20), at least part of the inert charge (50) being interposed between the firing device (20) and said explosive charge (40), and the pyrotechnic transmission unit (60) being provided with a pyrotechnic extension (64) and coupling the firing device (20) to the explosive charge (40) in such a way as to allow the explosive charge to be primed to detonate under the action of the firing device (20).",20130620,EURENCO FRANCE [FR],MARCHAIS MARIE [FR],F42B  25/    00            A I;F42C  19/    08            A I
248,0.024498430124590565,WO2017120214A1,ELECTRONICALLY PURE SINGLE CHIRALITY SEMICONDUCTING SINGLE -WALLED CARBON NANOTUBE FOR LARGE SCALE ELECTRONIC DEVICES,"An electronically pure carbon nanotube ink, includes a population of semiconducting carbon nanotubes suspended in a liquid, the ink being essentially free of metallic impurities and organic material, and characterized in that when incorporated as a carbon nanotube network in a metal/carbon nanotube network/metal double diode, a nonlinear current-bias curve is obtained on application of a potential from 0.01 V to 100 V. The ink can be used to prepare air-stable n-type thin film transistors having performances similar to current thin film transistors used in flat panel displays amorphous silicon devices and high performance p-type thin film transistors with high-κ dielectrics.",20170713,ATOM NANOELECTRONICS INC [US],LI HUAPING [US],H01L  21/    00            A I;B82Y  15/    00            A I;B82Y  40/    00            A I;H01L  21/    02            A I;H01L  27/    00            A I
43,0.024328467372078628,WO2015179698A2,SHAPED CHARGE RETAINER SYSTEM,An apparatus and method for locking a detonating cord against a shaped charge.,20151126,HUNTING TITAN INC [US],COLLINS WILLIAM R [US],F42B   1/    02            A I
119,0.02413453997234477,WO2017085751A1,LOADING MACHINE FOR CARTRIDGES WITH A METAL CASE,"The invention relates to a loading machine (1 ) for cartridges with a metal case (2) comprising a frame structure (3); feed means (4) for a plurality of cases (2) having a longitudinally extending axis (x); a first operating beam (5) having an alternating vertical translation movement, provided with working tools (6) having a vertical axis (y), adapted to load said cases (2); feed and conveying means of said cases (2) and means for ejecting the loaded cartridges; motor means (M) and a control unit (24). Said feed means of said cases (2) comprise a race (10) and a conveyor guide (11 ) comb shaped to define a plurality of seats (12), adapted to contain said cases (2) and to convey them along said race (10). Said conveyor guide (11 ) comprises a plurality of bushings (16), each bushing (16) comprising at least a first conical surface (21 ) and a hole (17) adapted to house one of said bushings (2) and being housed in one of said seats (12). Said machine (1 ) comprises a second operating beam (7), having an alternating vertical translation movement, provided with a plurality of hollow centering cylinders (8) having a vertical axis (z).",20170526,E M G SRL [IT],GATTI GIORGIO [IT],F42B  33/    00            A I
21,0.02379547786578843,WO2016118179A1,PERFORATING GUNS THAT INCLUDE METALLIC CELLULAR MATERIAL,"A perforating gun may include a metallic cellular material (e.g., a porous metal or a metal foam) to mitigate debris formation. For example, such a perforating gun may include a carrier gun body; a charge holder disposed within the carrier gun body; a plurality of shaped charge housings supported within the carrier gun body; and a metallic cellular material disposed within a volume defined by the plurality of shaped charge housings and the charge holder.",20160728,HALLIBURTON ENERGY SERVICES INC [US],XUE ZHENYU [US],E21B  43/    11            A I;E21B  43/   116            A I
27,0.023417579436827617,WO2016161310A1,PERFORATING GUN WITH A CHARGE HOLDING TUBE,"In aspects, the present disclosure provides a perforating gun that includes a carrier tube, and a charge tube assembly. The carrier tube includes a bore and a groove formed along an inner surface. The charge tube assembly is disposed in the bore of the carrier tube and includes a charge tube, an alignment end plate, an insertion end plate, a retention member, shaped charges, and a detonating cord. The charge tube has a plurality of shaped charge openings, a plurality of post openings, a first end, and a second end. The alignment end plate is connected to the first end of the charge tube. The insertion end plate is connected to the second end of the charge tube. The shaped charges are disposed in each of the shaped charge openings. Each shaped charge has a post projecting out of one post opening. The detonating cord is connected to each of the projecting posts.",20161006,OWEN OIL TOOLS LP [US],LAGRANGE TIMOTHY E [US],E21B  43/    11            A I;E21B  43/   119            A I
158,0.02301492167232858,WO2016086407A1,"TERMINAL, NETWORK DEVICE AND COORDINATED MULTI-POINT TRANSMISSION COOPERATING SET SELECTION METHOD","The present application relates to the technical field of wireless communications, and in particular to a terminal, a network device and a coordinated multi-point transmission (CoMP) cooperating set selection method, which are used for decreasing the processing load of the network device in the process of selecting a CoMP cooperating set. In a terminal provided by the embodiments of the present invention, a processing module is used for respectively performing downlink measurement on each node of multiple nodes in a coordinated multi-point transmission (CoMP) candidates set of a terminal; and a transceiving module is used for sending a downlink measurement result obtained by the downlink measurement performed by the processing module to a network device, so as to be taken as a basis for the network device to select a CoMP cooperating set of the terminal from the CoMP candidates set of the terminal. Since the measurement is preformed by a terminal when CoMP cooperating set selection is performed, a network device selects a CoMP cooperating set according to a measurement result sent by the terminal, which decreases the processing load of the network device.",20160609,HUAWEI TECH CO LTD [CN],LIU BIN [CN],H04W  48/    20            A I
207,0.020739947803289926,WO0012858A2,SHAPED-CHARGE LINER,"A liner for a explosive shaped charge, such as those used in perforating operations in oil and gas wells, is formed from a powdered metal mixture that includes molybdenum. The molybdenum allows a higher density liner to be formed to create denser jets for achieving deeper penetration, but without the negative effects that often accompany the use of higher density materials. The molybdenum may be used in the amount of 0,5 % to 25 % by weight of the metal mixture, with tungsten and other constituents forming the remainder of the mixture.;A liner for an explosive shaped charge (22), such as those used in perforating operations (10) in oil and gas wells, is formed from a powdered metal mixture that includes molybdenum allows a higher density liner to be formed to create denser jets for achieving deeper penetration, but without the negative effects that often accompany the use of higher density materials. The molybdenum may be used in the amount of 0,5 % to 25 % by weight of the metal mixture, with tungsten and other constituents forming the remainder of the mixture.",20000309,OWEN OIL TOOLS INC [US],PRATT DAN W,E21B  43/   117            A I;F42B   1/   032            A I
83,0.02058304473354925,WO2013056121A2,ELECTRICAL CHARGE-DISSIPATING CANNULA,"An apparatus, a system and a method of dissipating an electrical charge are provided. The apparatus is a cannula for receiving a surgical instrument to perform a surgical operation on a body. The cannula includes a hollow elongated structure having a proximal end opening and a distal end opening leading to a hollow interior passage dimensioned to receive a surgical instrument. The hollow elongated structure includes a polymer material and an electrically conductive material. The electrically conductive material is disposed to achieve electrical capacitive coupling with the surgical instrument and to dissipate an electrical charge received via the electrical capacitive coupling. The system and method utilize the cannula to dissipate the electrical charge through the surgical instrument.",20130418,INTUITIVE SURGICAL OPERATIONS [US],KROM JUSTIN [US],A61B  18/    12            A I;A61B  17/    34            A I;A61B  19/    00            A I;A61L  29/    04            A I;A61M  25/    01            A I
25,0.02047967453398571,WO2016085935A1,A STOVETOP FIRE SUPPRESSOR WITH SHUTTLE ACTUATOR AND METHOD,"An automatic stovetop fire suppressor is activated by a shuttle actuator. The self- contained and closed container device provides a gradual release of a fire suppressing agent in a desired distribution pattern. A method of reliable and spatial agent release are provided herein. A plastic cone shaped lid seals on the bottom of a can and forms a closed container. The closed container is filled with a fire suppressing agent. An initiator charge is housed external to the container of fire suppressing agent and is fuse activated. The activated charge displaces the shuttle. As the shuttle displaces, vertical support for the bottom cone lid is removed and a compression spring breaks a circumferential seal between the bottom lid and container cylindrical sidewall and lowers the bottom lid exposing a radial opening. Fire suppressing agent flows out of the radial opening, suppressing a stovetop fire.",20160602,MURRAY DONALD W [US],MURRAY DONALD W [US],A62C   3/    00            A I;A62C  37/    11            A I;A62C  99/    00            A I
77,0.020170036028971848,WO2013165539A1,COMPOSITE LINERS FOR PERFORATORS,"A shaped charge having a charge case and liner with an outer layer and an inner layer. The liner is a generally hollow frustoconically shaped member with an open end and a closed end, where the closed end of the liner inserts into an opening in the charge case. An explosive is provided between the liner and the charge case. The inner layer of the liner includes a higher density material than material used for forming the outer layer.",20131107,BAKER HUGHES INC [US],HARVEY WILLIAM B [US],E21B  43/   117            A I;E21B  43/   119            A I
96,0.01947811836749716,WO2011149144A1,DANGLER ASSEMBLY FOR USE IN A PLATING BARREL,"Provided is a dangler assembly for use in a plating barrel, which includes a wire, a connecting terminal electrically connected to a part at one end of the wire and an electrode terminal electrically connected to a part at the other end of the wire, and in which a negative charge is transmitted to the electrode terminal, which is in contact with a plating liquid held in the plating barrel, from an electrical current supply unit connected to the connecting terminal; wherein the dangler assembly comprises: a terminal member including a hollow case part which is electrically connected to the wire and into which one end of the wire is inserted and crimped, and including a terminal part which is formed on one side of the case part and is electrically connected to the case part; a fastening member for fastening by crimping the region of the join between the part at one end of the wire and the case part; and a sealing member which is interposed between the case part and the fastening part and establishes a seal between the case part and the fastening part.",20111201,GWANGSUNG METAL CO LTD [KR],RA KYOUNG UN [KR],C25D  17/    20            A I;C25D  17/    10            A I;C25D  17/    18            A I;C25D  21/    00            A I
